"artifact","harmonic_centrality"
"org.jasig.portlet:CalendarPortlet:1.0.0-M2","0.2002783959985308"
"xalan:xalan:2.7.1","0.20024563101250936"
"org.springframework:spring-jdbc:2.5.6","0.20020730200489287"
"org.codehaus.sonar:sonar-plugin-api:2.0RC3","0.20015799573539003"
"org.apache.stanbol:org.apache.stanbol.commons.solr.core:0.9.0-incubating","0.20007744091145424"
"org.drools:guvnor-webapp-core:5.5.0.Final","0.20006496025848208"
"javax.activation:activation:1.1.1","0.20004580711806538"
"xml-resolver:xml-resolver:1.2","0.1999097818351705"
"org.springframework:spring-beans:2.5.6","0.19982710251015548"
"org.hibernate:hibernate-entitymanager:3.4.0.GA","0.1998267510643595"
"com.google.sitebricks:sitebricks:0.8.3","0.1997303185682748"
"commons-cli:commons-cli:1.0","0.1994792020767684"
"commons-digester:commons-digester:1.8","0.19934662100005934"
"org.codehaus.woodstox:stax2-api:3.1.1","0.19922809956545942"
"org.jasig.portlet:FunctionalTestsPortlet:1.0.3","0.19895221646147154"
"org.jvnet.hudson:htmlunit:2.2-hudson-7","0.19883116221438787"
"org.apache.geronimo.specs:geronimo-stax-api_1.0_spec:1.0.1","0.19882349056268908"
"org.apache.velocity:velocity-tools:2.0","0.19878281558307323"
"org.springframework:spring-web:2.5.6","0.19859980347102316"
"org.codehaus.xfire:xfire-core:1.2.6","0.19859429325014774"
"org.apache.james:james-server-lmtpserver:3.0-M2","0.19849242775201764"
"com.google.sitebricks:sitebricks:0.8.5","0.1984664567172939"
"jline:jline:0.9.94","0.19845234438827347"
"org.apache.neethi:neethi:2.0.4","0.1984523326356895"
"nl.cloudfarming.client:lib-common:1.2-NB72","0.19843681373997862"
"org.codehaus.sonar:sonar-plugin-api:2.3","0.19843091979338706"
"org.codehaus.sonar:sonar-plugin-api:2.3.1","0.19843091979338703"
"javax.mail:mail:1.4.4","0.1984273275763328"
"log4j:log4j:1.2.15","0.19839484719488526"
"org.codehaus.openxma:dsl-common:5.0.7","0.1983547477078249"
"javax.transaction:jta:1.1","0.19835006906549796"
"net.sf.squirrel-sql:fw:3.3.0-rc1","0.19834128013479274"
"org.springframework:spring-core:3.0.5.RELEASE","0.19818769725921462"
"it.tidalwave.northernwind:it-tidalwave-northernwind-importer-infoglue:1.8","0.1981389311733047"
"it.tidalwave.northernwind:it-tidalwave-northernwind-importer-infoglue:1.4","0.1981389311733047"
"org.eclipse.jetty.aggregate:jetty-all-server:7.0.1.v20091125","0.1981350392576712"
"org.springframework:spring-context-support:2.5.6","0.19808857763588628"
"com.lohika.alp:alp-reporter:0.7","0.19798602291398365"
"org.springframework:spring-context:2.5.5","0.1978689765772116"
"org.apache.cassandra:cassandra-all:0.8.6","0.19780704683139172"
"stax:stax-api:1.0.1","0.19780496077329685"
"org.jboss.resteasy:resteasy-jaxrs:2.3.2.Final","0.19778130926341772"
"org.slf4j:jcl-over-slf4j:1.6.1","0.19773029930448313"
"junit:junit:3.8.2","0.19772082491134457"
"org.apache.abdera:abdera-parser:0.4.0-incubating","0.19762371591961264"
"commons-discovery:commons-discovery:0.4","0.19758458364462908"
"org.openengsb.core:openengsb-core-workflow:1.1.7.RELEASE","0.19752231564970538"
"org.glassfish.metro:wsit-impl:2.2","0.19750115237954632"
"org.openengsb.connector:openengsb-connector-memoryauditing:1.1.1.RELEASE","0.1974028049266058"
"org.openengsb.connector:openengsb-connector-email:1.1.7.RELEASE","0.19740280492660578"
"org.jbpm:jbpm-workitems:5.1.0.CR1","0.19739871739573744"
