"artifact","page_rank"
"commons-lang:commons-lang:2.1","2.1771734999999994"
"com.sun.enterprise:osgi-adapter:1.0.0","2.1636245"
"commons-io:commons-io:2.0.1","2.1551074999999997"
"org.springframework:spring-context:2.5.6","2.1437090000000003"
"com.sun.enterprise:config-types:1.0.0","2.1355660000000003"
"org.apache.ant:ant:1.7.1","2.1234705"
"org.springframework:spring-beans:2.5.6","2.1206399999999994"
"org.apache.felix:org.osgi.core:1.2.0","2.0962959999999997"
"org.jvnet:tiger-types:1.2","2.095837"
"org.antlr:antlr-runtime:3.3","2.0800355"
"commons-cli:commons-cli:1.0","2.0767035000000003"
"org.apache.geronimo.specs:geronimo-javamail_1.4_spec:1.7.1","2.073516"
"org.jvnet:mimepull:1.4","2.046775"
"com.sun.grizzly:grizzly-config:1.9.31","2.0363795"
"org.apache.ant:ant:1.7.0","2.033685"
"org.springframework:spring-asm:3.0.5.RELEASE","2.0063489999999997"
"org.osgi:org.osgi.compendium:4.2.0","2.0027704999999996"
"org.apache.ws.commons.util:ws-commons-util:1.0.2","1.998733"
"org.codehaus.plexus:plexus-utils:2.0.5","1.9839175"
"org.clojure:tools.logging:0.2.3","1.9836710000000002"
"org.clojure:core.incubator:0.1.0","1.9836710000000002"
"net.sourceforge.htmlcleaner:htmlcleaner:2.2","1.9678440000000004"
"commons-fileupload:commons-fileupload:1.2.1","1.9545925"
"org.objenesis:objenesis:1.2","1.9543884999999996"
"commons-fileupload:commons-fileupload:1.2.2","1.9533515000000001"
"asm:asm:3.2","1.952374"
"javadb:javadb:10.5.3.0","1.930104"
"org.codehaus.plexus:plexus-utils:1.4.5","1.9214425"
"org.apache.maven:maven-plugin-api:2.0","1.9093640000000003"
"org.codehaus.plexus:plexus-container-default:1.0-alpha-8","1.8896949999999997"
"javax.transaction:jta:1.1","1.8700685"
"commons-beanutils:commons-beanutils:1.8.0","1.850442"
"org.clojure:clojure:1.3.0-beta1","1.8361025000000002"
"commons-cli:commons-cli:1.2","1.8345130000000003"
"com.sun.grizzly:grizzly-config:1.9.19","1.80784"
"org.eclipse.jdt:ecj:3.3","1.7942909999999999"
"concurrent:concurrent:1.3.4","1.7913245000000002"
"org.codehaus.plexus:plexus-utils:1.0.4","1.7902534999999997"
"org.apache.geronimo.specs:geronimo-jms_1.1_spec:1.1.1","1.7773419999999998"
"org.slf4j:slf4j-api:1.7.2","1.7758375000000002"
"org.fusesource.commonman:commons-management:1.0","1.7690204999999999"
"org.eclipse.persistence:javax.persistence:2.0.0","1.7624584999999995"
"org.apache.felix:org.osgi.compendium:1.2.0","1.7599255000000003"
"org.clojure:clojure:1.2.0","1.7537375"
"asm:asm:3.0","1.7495384999999999"
"commons-discovery:commons-discovery:0.4","1.7446000000000004"
"org.glassfish.web:jstl-impl:1.2","1.733125"
"org.slf4j:jcl-over-slf4j:1.6.1","1.7162185"
"org.slf4j:slf4j-api:1.4.3","1.7025675"
"hsqldb:hsqldb:1.8.0.7","1.6984620000000001"
"org.json:json:20080701","1.6766765000000003"
"org.codehaus.plexus:plexus-digest:1.1","1.67303"
