"artifact","direct_usages"
"org.objectweb.monolog:monolog-core:2.1.12","32"
"javax.ws.rs:jsr311-api:1.0","32"
"org.springframework:spring-beans:2.5.6","31"
"org.eclipse.persistence:javax.persistence:2.0.0","31"
"org.hibernate.javax.persistence:hibernate-jpa-2.0-api:1.0.1.Final","31"
"org.ow2.util.asm:asm:3.1","31"
"p6spy:p6spy:1.3","31"
"org.mortbay.jetty:jsp-api-2.1:6.1.5","31"
"commons-modeler:commons-modeler:2.0.1","30"
"org.ow2.spec.ee:ow2-ejb-3.0-spec:1.0-M1","30"
"org.glassfish.ha:ha-api:3.1.8","30"
"org.slf4j:slf4j-api:1.6.0","30"
"org.clojure:clojure:1.3.0","30"
"com.sun.grizzly:grizzly-utils:1.9.18-k","30"
"org.apache.geronimo.specs:geronimo-jms_1.1_spec:1.1","29"
"net.oauth.core:oauth:20100527","29"
"org.slf4j:jcl-over-slf4j:1.6.4","29"
"asm:asm:3.3.1","28"
"commons-io:commons-io:2.1","28"
"commons-codec:commons-codec:1.6","28"
"org.apache.felix:org.osgi.core:1.2.0","28"
"com.google.guava:guava:12.0","28"
"org.ow2.easybeans:easybeans-asm-tree:3.0","28"
"org.apache.geronimo.specs:geronimo-jaxws_2.1_spec:1.0","28"
"org.slf4j:slf4j-log4j12:1.6.4","28"
"xalan:xalan:2.7.0","28"
"com.sun.xml.bind:jaxb-impl:2.2.3-1","27"
"org.springframework:spring-aop:2.5.6","27"
"org.ow2.util.asm:asm-commons:3.1","27"
"org.codehaus.woodstox:wstx-asl:3.2.7","27"
"org.slf4j:slf4j-api:1.5.2","27"
"commons-fileupload:commons-fileupload:1.2.2","27"
"com.google.guava:guava:10.0.1","27"
"org.apache.geronimo.specs:geronimo-corba_2.3_spec:1.1","27"
"commons-configuration:commons-configuration:1.6","26"
"org.apache.xmlbeans:xmlbeans:2.4.0","26"
"com.sun.enterprise:hk2:1.1.0","26"
"javax.xml.bind:jaxb-api:2.0","26"
"jakarta-regexp:jakarta-regexp:1.4","26"
"org.springframework:spring-web:2.5.6","25"
"velocity:velocity:1.4","25"
"commons-codec:commons-codec:1.5","25"
"com.google.inject.extensions:guice-assistedinject:3.0","25"
"asm:asm-commons:3.1","25"
"jaxen:jaxen:1.1","25"
"org.apache.maven:maven-project:2.0.4","25"
"com.sun.xml.bind:jaxb-impl:2.1.12","25"
"net.jcip:jcip-annotations:1.0","25"
"commons-digester:commons-digester:1.8","25"
"org.codehaus.plexus:plexus-container-default:1.0-alpha-9-stable-1","25"
"org.objectweb.monolog:monolog-wrapper-p6spy:2.1.12","25"
"org.codehaus.woodstox:stax2-api:3.1.1","25"
"com.sun.enterprise:config-types:1.0.0","25"
"org.apache.ws.commons.schema:XmlSchema:1.4.5","24"
"commons-logging:commons-logging:1.0.3","24"
"classworlds:classworlds:1.1","24"
"org.apache.velocity:velocity:1.5","24"
"org.codehaus.woodstox:woodstox-core-asl:4.1.1","24"
"javax.xml.ws:jaxws-api:2.0","24"
"xpp3:xpp3:1.1.3.3","24"
"org.slf4j:jcl-over-slf4j:1.5.6","24"
"org.glassfish.web:el-impl:2.2.1-b03","24"
"commons-io:commons-io:1.3.2","23"
"org.hibernate:hibernate-core:3.3.2.GA","23"
"org.jvnet:mimepull:1.4","23"
"log4j:log4j:1.2.8","23"
"org.glassfish.web:jstl-impl:1.2","23"
"org.hibernate:hibernate-entitymanager:3.4.0.GA","23"
"com.google.inject:guice:2.0","23"
"org.slf4j:slf4j-log4j12:1.5.6","23"
"org.apache.maven.shared:maven-osgi:0.2.0","23"
"commons-dbcp:commons-dbcp:1.2.2","22"
"org.jvnet:animal-sniffer-annotation:1.0","22"
"org.scala-lang:scala-library:2.9.1","22"
"org.codehaus.plexus:plexus-component-annotations:1.5.5","22"
"com.googlecode.json-simple:json-simple:1.1","22"
"org.apache.geronimo.specs:geronimo-jaxr_1.0_spec:1.1","22"
"org.apache.xmlbeans:xmlbeans:2.3.0","22"
"javax.transaction:jta:1.0.1B","22"
"xml-resolver:xml-resolver:1.1","22"
"org.springframework:spring-tx:3.0.5.RELEASE","22"
"org.antlr:stringtemplate:3.2.1","22"
"commons-pool:commons-pool:1.3","22"
"org.apache.geronimo.specs:geronimo-servlet_2.5_spec:1.2","22"
"org.codehaus.woodstox:wstx-asl:3.2.9","22"
"org.hamcrest:hamcrest-all:1.1","22"
"org.slf4j:slf4j-api:1.5.10","22"
"xml-apis:xml-apis:1.3.03","22"
"hsqldb:hsqldb:1.8.0.7","22"
"com.thoughtworks.paranamer:paranamer:2.3","22"
"commons-jexl:commons-jexl:1.1","22"
"org.glassfish:bean-validator:3.0-JBoss-4.0.2_03","22"
"backport-util-concurrent:backport-util-concurrent:3.1","22"
"org.ow2.spec.ee:ow2-ejb-3.0-spec:1.0.2","22"
"org.springframework:spring-core:2.5.4","22"
"jotm:jotm:2.0.10","22"
"oro:oro:2.0.7","22"
"org.freemarker:freemarker:2.3.16","22"
"com.sun.mail:javax.mail:1.4.4","21"
"commons-httpclient:commons-httpclient:3.0","21"
"taglibs:standard:1.1.2","21"
"com.sun.pkg:pkg-client:1.122-38.2791","21"
"org.apache.maven.wagon:wagon-provider-api:1.0-beta-2","21"
"org.apache.geronimo.specs:geronimo-jaxrpc_1.1_spec:1.1","21"
"jfree:jfreechart:1.0.9","21"
"org.apache.httpcomponents:httpclient:4.1.2","21"
"org.springframework:spring-aop:3.0.5.RELEASE","21"
"javax.jws:jsr181-api:1.0-MR1","21"
"com.google.code.findbugs:jsr305:1.3.7","21"
"org.apache.ant:ant:1.8.2","21"
"org.springframework:spring-context:3.1.0.RELEASE","21"
"com.sun.jersey:jersey-core:1.12","21"
"com.sun.xml.bind:jaxb-xjc:2.1.3","21"
"org.springframework:spring-webmvc:3.0.5.RELEASE","21"
"org.apache.geronimo.specs:geronimo-javamail_1.4_spec:1.7.1","21"
"com.sun.grizzly:grizzly-config:1.9.18-k","20"
"org.jvnet:tiger-types:1.2","20"
"org.apache.bcel:bcel:5.2","20"
"commons-codec:commons-codec:1.2","20"
"asm:asm:1.5.3","20"
"org.glassfish.docs:basedocs:3.0-b08","20"
"org.json:json:20080701","20"
"org.hamcrest:hamcrest-library:1.1","20"
"javax.faces:jsf-api:1.2_08","20"
"joda-time:joda-time:2.1","20"
"javax.security:jacc:1.1","20"
"org.springframework:spring-context-support:2.5.6","20"
"org.apache.ws.commons.schema:XmlSchema:1.4.7","19"
"com.sun.xml.messaging.saaj:saaj-impl:1.3.2","19"
"org.springframework:spring-beans:2.5.4","19"
"org.scala-lang:scala-library:2.8.1","19"
"org.scala-lang:scala-library:2.8.0","19"
"org.antlr:antlr-runtime:3.3","19"
"xpp3:xpp3_min:1.1.4c","19"
"org.codehaus.plexus:plexus-utils:1.0.4","19"
"com.sun.grizzly:grizzly-utils:1.9.31","19"
"javax.servlet:jstl:1.1.2","19"
"org.slf4j:slf4j-api:1.4.3","19"
"org.hibernate:hibernate-annotations:3.4.0.GA","19"
"org.apache.velocity:velocity:1.7","19"
"org.aspectj:aspectjweaver:1.6.2","19"
"org.codehaus.plexus:plexus-container-default:1.0-alpha-9","19"
"junit:junit:4.5","19"
"commons-fileupload:commons-fileupload:1.2","19"
"com.sun.xml.txw2:txw2:20070624","19"
"org.slf4j:jcl-over-slf4j:1.5.8","19"
"org.ow2.spec.ee:ow2-connector-1.5-spec:1.0-M1","19"
"commons-modeler:commons-modeler:2.0","19"
"commons-dbcp:commons-dbcp:1.4","19"
"org.springframework:spring-context:2.5.4","18"
"asm:asm:3.2","18"
"javax.jcr:jcr:1.0","18"
"org.eclipse.persistence:javax.persistence:2.0.1","18"
"asm:asm:2.2.3","18"
"org.hamcrest:hamcrest-core:1.1","18"
"org.json:json:20090211","18"
"org.codehaus.plexus:plexus-utils:1.5.5","18"
"org.codehaus.plexus:plexus-utils:1.4.5","18"
"javax.servlet:jsp-api:2.0","18"
"org.99soft.guice:rocoto:6.1","18"
"org.codehaus.woodstox:wstx-asl:3.2.4","18"
"xerces:xercesImpl:2.6.2","18"
"commons-discovery:commons-discovery:0.2","18"
"org.apache.maven:maven-artifact:2.0.4","18"
"org.hibernate.javax.persistence:hibernate-jpa-2.0-api:1.0.0.Final","18"
"com.google.guava:guava:r09","18"
"org.springframework.security:spring-security-core:3.0.5.RELEASE","17"
"cglib:cglib-nodep:2.2","17"
"org.apache.maven.plugins:maven-compiler-plugin:2.0.2","17"
"org.ow2.spec.ee:ow2-jpa-1.0-spec:1.0-M1","17"
"commons-el:commons-el:1.0","17"
"asm:asm:3.3","17"
"bsf:bsf:2.3.0","17"
"org.apache.geronimo.specs:geronimo-javamail_1.4_spec:1.6","17"
"com.marsching.flexiparse:flexiparse:0.2.1","17"
"com.thoughtworks.xstream:xstream:1.3","17"
"org.apache.maven:maven-project:2.0.9","17"
"org.springframework:spring-tx:2.5.6","17"
"org.apache.tomcat:servlet-api:6.0.18","17"
"org.apache.poi:poi:3.6","17"
"org.apache.maven:maven-core:2.0.9","17"
"com.google.guava:guava:11.0.2","17"
"org.mortbay.jetty:servlet-api:2.5-20081211","17"
"org.kohsuke.metainf-services:metainf-services:1.1","17"
"com.thoughtworks.xstream:xstream:1.2.2","17"
"javax.mail:mail:1.4.4","17"
"org.beanshell:bsh:2.0b4","17"
"javax.activation:activation:1.1.1","17"
"org.ow2.spec.ee:ow2-connector-1.5-spec:1.0.2","17"
"org.codehaus.plexus:plexus-classworlds:2.4","16"
"org.slf4j:slf4j-log4j12:1.5.11","16"
"org.springframework:spring-context:2.5.5","16"
"org.apache.maven:maven-plugin-api:2.0.9","16"
"org.hibernate:hibernate:3.2.6.ga","16"
"commons-io:commons-io:1.2","16"
"org.springframework:spring-context:3.0.7.RELEASE","16"
"org.jvnet.staxex:stax-ex:1.2","16"
"org.springframework:spring-jdbc:2.5.6","16"
"com.icl.saxon:saxon:6.5.5","16"
"org.jvnet:mimepull:1.5","16"
"javax.xml.bind:jaxb-api-osgi:2.2-promoted-b65","16"
"com.google.code.gson:gson:2.1","16"
"org.springframework:spring-web:3.0.5.RELEASE","16"
"com.sun.woodstock.dependlibs:dataprovider:1.0","16"
"org.slf4j:slf4j-api:1.4.2","16"
"net.java.dev.stax-utils:stax-utils:20060502","16"
"org.springframework:spring-test:3.0.5.RELEASE","16"
"com.google.guava:guava:11.0.1","16"
"org.codehaus.jackson:jackson-mapper-asl:1.9.2","16"
"org.glassfish.gmbal:gmbal-api-only:3.0.0-b023","16"
"org.slf4j:slf4j-log4j12:1.5.8","16"
"org.apache.servicemix.specs:org.apache.servicemix.specs.jaxb-api-2.1:1.2.0","16"
"org.springframework:spring-beans:3.1.0.RELEASE","16"
"geronimo-spec:geronimo-spec-jta:1.0-M1","16"
"velocity:velocity-dep:1.4","16"
"commons-pool:commons-pool:1.5.4","16"
"com.sun.xml.bind:jaxb-osgi:2.2-promoted-b65","16"
"com.google.protobuf:protobuf-java:2.4.1","16"
"org.hibernate:hibernate-commons-annotations:3.1.0.GA","16"
"org.springframework:spring-core:2.5.5","16"
"mockobjects:mockobjects-core:0.09","15"
"org.jvnet:tiger-types:1.4","15"
"org.apache.maven:maven-plugin-api:2.2.1","15"
"com.sun.org.apache.xml.internal:resolver:20050927","15"
"javax.xml.soap:com.springsource.javax.xml.soap:1.3.0","15"
"commons-io:commons-io:1.1","15"
"rome:rome:0.9","15"
"org.codehaus.plexus.registry:plexus-registry-commons:1.0-alpha-2","15"
"commons-primitives:commons-primitives:1.0","15"
"stax:stax-api:1.0","15"
"org.springframework:spring-core:3.1.0.RELEASE","15"
"org.clojure:clojure-contrib:1.2.0","15"
"org.codehaus.plexus.cache:plexus-cache-ehcache:1.0-alpha-2","15"
"org.fusesource.commonman:commons-management:1.0","15"
"com.sun.xml.bind:jaxb-xjc:2.1.13","15"
"commons-validator:commons-validator:1.3.1","15"
"commons-pool:commons-pool:1.4","15"
"com.sun.grizzly:grizzly-http:1.9.18-k","15"
"org.ow2.spec.ee:ow2-jta-1.1-spec:1.0.2","15"
"org.objenesis:objenesis:1.2","15"
"regexp:regexp:1.3","15"
"cglib:cglib:2.1_3","15"
"org.apache.httpcomponents:httpclient:4.1.3","15"
"org.codehaus.plexus:plexus-interpolation:1.14","15"
"org.ow2.spec.ee:ow2-jpa-1.0-spec:1.0.2","15"
"org.objectweb.fractal:fractal-api:2.0.2","15"
"commons-httpclient:commons-httpclient:3.0.1","15"
"hsqldb:hsqldb:1.8.0.10","15"
"xalan:serializer:2.7.1","15"
"junit:junit:4.4","15"
"xerces:xmlParserAPIs:2.6.2","15"
"org.codehaus.plexus:plexus-utils:1.5.15","15"
"org.springframework:spring-orm:2.5.6","15"
"junit:junit:4.10","15"
"commons-dbcp:commons-dbcp:1.3","15"
"javassist:javassist:3.8.0.GA","14"
"org.springframework:spring-core:2.0.8","14"
"org.springframework:spring-web:2.5.4","14"
"commons-collections:commons-collections:2.1","14"
"com.sun.corba:glassfish-corba-omgapi:3.2.0-b002","14"
"org.apache.maven:maven-plugin-api:2.0.7","14"
"org.ow2.easybeans:quartz:1.6.0","14"
"asm:asm:3.0","14"
"org.apache.velocity:velocity:1.6.4","14"
"org.javassist:javassist:3.14.0-GA","14"
"org.springframework:spring-beans:3.0.7.RELEASE","14"
"dom4j:dom4j:1.4","14"
"org.codehaus.plexus:plexus-utils:1.1","14"
"org.slf4j:slf4j-api:1.7.2","14"
"org.ow2.carol:carol:3.0.8","14"
"mx4j:mx4j:3.0.1","14"
"com.google.guava:guava:11.0","14"
"org.hibernate:hibernate-commons-annotations:3.2.0.Final","14"
"org.ow2.spec.ee:ow2-jsr77-1.1-spec:1.0.2","14"
"org.codehaus.staxmate:staxmate:2.0.0","14"
"commons-cli:commons-cli:1.1","14"
"com.sun.corba:glassfish-corba-internal-api:3.2.0-b002","14"
"org.hibernate:hibernate-ehcache:3.3.2.GA","14"
"com.sun.pkg:pkg-client:1.122-50.2809","14"
"commons-pool:commons-pool:1.2","14"
"cglib:cglib-nodep:2.2.2","14"
"log4j:log4j:1.2.17","14"
"asm:asm-attrs:1.5.3","14"
"org.hibernate:hibernate-commons-annotations:3.3.0.ga","14"
"nu.validator.htmlparser:htmlparser:1.2.1","14"
"org.safehaus.jug:jug:2.0.0","14"
"xpp3:xpp3:1.1.4c","14"
"org.codehaus.plexus:plexus-digest:1.1","14"
"com.thoughtworks.xstream:xstream:1.4.1","14"
"commons-net:commons-net:2.0","14"
"com.sun.grizzly:grizzly-utils:1.9.18-o","14"
"com.google.guava:guava:r07","14"
"org.codehaus.plexus:plexus-velocity:1.1.7","13"
"net.sourceforge.htmlcleaner:htmlcleaner:2.2","13"
"com.sun.grizzly:grizzly-comet:1.9.18-k","13"
"junit:junit-dep:4.8.2","13"
"org.springframework:spring-beans:2.5.5","13"
"org.apache.commons:commons-lang3:3.0.1","13"
"org.springframework:spring-beans:2.0.8","13"
"com.sun.pkg:pkg-client:1.122-38.2492","13"
"org.apache.lucene:lucene-core:2.4.1","13"
"org.eclipse.persistence:javax.persistence:2.0.2","13"
"org.springframework:spring-orm:3.0.5.RELEASE","13"
"org.springframework.security:spring-security-config:3.0.5.RELEASE","13"
"org.scala-lang:scala-library:2.9.2","13"
"findbugs:annotations:1.0.0","13"
"org.codehaus.plexus:plexus-utils:1.5.1","13"
"org.apache.abdera:abdera-parser:1.0","13"
"org.apache.geronimo.specs:geronimo-j2ee-management_1.1_spec:1.0.1","13"
"com.google.code.gson:gson:2.2","13"
"org.apache.maven:maven-project:2.0.7","13"
"com.sun.grizzly:grizzly-utils:1.9.19","13"
"com.sun.enterprise:hk2:1.0.74","13"
"org.javassist:javassist:3.15.0-GA","13"
"org.codehaus.woodstox:wstx-asl:3.2.1","13"
"org.apache.geronimo.specs:geronimo-jta_1.1_spec:1.1","13"
"org.apache.maven:maven-artifact:2.0.9","13"
"org.springframework.security:spring-security-web:3.0.5.RELEASE","13"
"org.codehaus.plexus:plexus-jdo2:1.0-alpha-8","13"
"org.springframework:spring-webmvc:2.5.6","13"
"org.springframework.osgi:spring-osgi-core:1.2.1","13"
"org.apache.geronimo.specs:geronimo-j2ee-connector_1.5_spec:2.0.0","13"
"org.eclipse.jdt:core:3.1.1","13"
"org.springframework:spring-context:2.0.8","13"
"org.codehaus.woodstox:stax2-api:3.0.1","13"
"janino:janino:2.5.10","13"
"javassist:javassist:3.12.1.GA","13"
"com.sun.xml.bind:jaxb-impl:2.1.9","13"
"com.google.guava:guava:r08","13"
"com.cedarsoft:guice-annotations:2.0.1","13"
"org.apache.maven:maven-project:2.2.1","13"
"net.sf.ehcache:ehcache:1.5.0","13"
"org.eclipse.jdt.core.compiler:ecj:3.5.1","12"
"org.apache.maven.shared:maven-dependency-tree:1.2","12"
"org.eclipse.jdt:ecj:3.3","12"
"org.ow2.spec.ee:ow2-deployment-1.2-spec:1.0.2","12"
"org.apache.geronimo.specs:geronimo-jta_1.0.1B_spec:1.0.1","12"
"de.java2html:java2html:5.0","12"
"org.apache.santuario:xmlsec:1.4.3","12"
"org.springframework:spring-aop:2.5.4","12"
"org.apache.abdera:abdera-extensions-json:1.0","12"
"org.springframework:spring-tx:3.1.0.RELEASE","12"
"org.apache.poi:poi-ooxml:3.6","12"
"stax:stax:1.2.0","12"
"com.sun.corba:glassfish-corba-orbgeneric:3.0.0-b041","12"
"org.codehaus.jettison:jettison:1.2","12"
"commons-jxpath:commons-jxpath:1.3","12"
"com.sun.corba:glassfish-corba-omgapi:3.0.0-b041","12"
"org.apache.tomcat:servlet-api:6.0.13","12"
"rhino:js:1.7R2","12"
"org.slf4j:slf4j-api:1.5.0","12"
"org.slf4j:slf4j-api:1.5.5","12"
"org.codehaus.plexus:plexus-expression-evaluator:1.0-alpha-1","12"
"org.jvnet.localizer:localizer:1.7","12"
"org.apache.derby:derby:10.4.2.0","12"
"org.apache.geronimo.specs:geronimo-jaspic_1.0_spec:1.0","12"
"org.slf4j:slf4j-log4j12:1.6.0","12"
"org.springframework:spring-webmvc:2.5.4","12"
"org.codehaus.jackson:jackson-core-asl:1.9.2","12"
"jtidy:jtidy:4aug2000r7-dev","12"
"com.sun.grizzly:grizzly-config:1.9.31","12"
"org.apache.derby:derby:10.5.3.0_1","12"
"org.apache.maven:maven-core:3.0","12"
"org.apache.ant:ant-junit:1.7.0","12"
"commons-jexl:commons-jexl:1.0","12"
"org.apache.xbean:xbean-reflect:3.4","12"
"org.slf4j:jcl-over-slf4j:1.6.2","12"
"classworlds:classworlds:1.1-alpha-2","12"
"org.apache.maven.skins:maven-default-skin:1.0","12"
"org.codehaus.plexus:plexus-component-api:1.0-alpha-22","12"
"org.codehaus.plexus:plexus-component-api:1.0-alpha-20","12"
"org.codehaus.plexus:plexus-compiler-javac:1.5.3","11"
"commons-dbcp:commons-dbcp:1.2.1","11"
"org.apache.geronimo.specs:geronimo-j2ee-management_1.0_spec:1.1","11"
"org.jvnet.hudson:wagon-webdav:1.0-beta-2-hudson-1","11"
"commons-io:commons-io:2.4","11"
"org.antlr:antlr:3.3","11"
"rome:rome:1.0","11"
"org.glassfish.hk2.external:asm-all-repackaged:1.1.0","11"
"bouncycastle:bcprov-jdk15:140","11"
"org.apache.geronimo.specs:geronimo-javamail_1.4_spec:1.3","11"
"org.codehaus.jackson:jackson-core-asl:1.7.1","11"
"commons-net:commons-net:1.4.1","11"
"org.apache.velocity:velocity:1.6.2","11"
"org.mockito:mockito-all:1.8.5","11"
"org.springframework:spring:2.5.6","11"
"org.codehaus.plexus:plexus-archiver:1.0-alpha-7","11"
"org.apache.ant:ant-launcher:1.7.0","11"
"javax.xml:xmldsig:1.0","11"
"org.codehaus.woodstox:woodstox-core-lgpl:4.0.4","11"
"org.apache.maven:maven-plugin-api:3.0","11"
"org.glassfish.web:el-impl:2.2","11"
"org.springframework:spring-core:3.0.7.RELEASE","11"
"org.apache.ws.ews:ews-mapper:1.1","11"
"org.apache.maven.wagon:wagon-provider-api:1.0-beta-6","11"
"org.jboss.resteasy:resteasy-jaxb-provider:2.0.1.GA","11"
"org.glassfish.web:jsp-impl:2.2.2-b03","11"
"org.glassfish.web:jsp-impl:2.2.2-b06","11"
"org.codehaus.xfire:xfire-all:1.2.2","11"
"org.opensaml:opensaml:1.1","11"
"com.sun.corba:glassfish-corba-orbgeneric:3.2.0-b002","11"
"org.codehaus.plexus:plexus-utils:2.0.4","11"
"com.jamesmurty.utils:java-xmlbuilder:0.3","11"
"org.codehaus.plexus:plexus-utils:1.5.6","11"
"jaxen:jaxen:1.0-FCS","11"
"org.apache.ivy:ivy:2.2.0","11"
"org.springframework:spring-jdbc:3.0.5.RELEASE","11"
"org.jboss.resteasy:resteasy-jaxrs:2.0.1.GA","11"
"log4j:log4j:1.2.9","11"
"com.sun.enterprise:osgi-main:1.0.0","11"
"com.sun.istack:istack-commons-runtime:2.2.1","11"
"org.apache.tomcat:servlet-api:6.0.29","11"
"javax.xml.bind:jaxb-api:2.2.2","11"
"org.apache.maven:maven-project:2.0.6","11"
"org.slf4j:jcl104-over-slf4j:1.4.3","11"
"org.jboss.logging:jboss-logging-spi:2.0.5.GA","11"
"javax.servlet:jstl:1.1.0","11"
"org.apache.tomcat:servlet-api:6.0.14","11"
"org.codehaus.woodstox:wstx-asl:3.2.6","11"
"org.apache.geronimo.specs:geronimo-jacc_1.1_spec:1.0-M2","11"
"org.apache.axis:axis:1.4","11"
"org.slf4j:slf4j-api:1.6.6","11"
"org.osgi:osgi_R4_core:1.0","11"
