artifact,union_find
jakarta-regexp:jakarta-regexp:1.4,30125
commons-io:commons-io:2.1,30125
org.apache.velocity:velocity:1.7,30125
org.sonatype.nexus:nexus-simple-memory-realm:1.4.0,30125
org.sonatype.security:security-system:1.1.3,30125
org.jsecurity:jsecurity:0.9.0-RC2-sonatype,30125
commons-beanutils:commons-beanutils:1.7.0,30125
org.codehaus.plexus:plexus-container-default:1.2.1.4,30125
org.codehaus.plexus:plexus-classworlds:1.4,30125
org.apache.xbean:xbean-reflect:3.4,30125
com.google.code.google-collections:google-collect:snapshot-20080530,30125
junit:junit:3.8.2,30125
org.codehaus.plexus:plexus-component-annotations:1.2.1,30125
org.sonatype.spice:plexus-ehcache:1.0.2,30125
net.sf.ehcache:ehcache:1.5.0,30125
backport-util-concurrent:backport-util-concurrent:3.1,30125
commons-collections:commons-collections:3.2,30125
net.sf.jsr107cache:jsr107cache:1.0,30125
org.codehaus.plexus:plexus-interpolation:1.6,30125
org.sonatype.plexus.appevents:plexus-app-events-api:1.0.0,30125
org.sonatype.plexus.appevents:simple-event-multicaster:1.0.0,30125
commons-codec:commons-codec:1.4,30125
org.sonatype.configuration:base-configuration:1.0,30125
org.mortbay.jetty:servlet-api-2.5:6.1.12,30125
org.sonatype.security:security-configuration:1.1.3,30125
org.sonatype.plexus:plexus-cipher:1.5,30125
org.easymock:easymock:2.4,30125
org.codehaus.plexus:plexus-utils:1.5.5,30125
org.slf4j:slf4j-api:1.5.6,30125
org.slf4j:slf4j-log4j12:1.5.6,30125
org.slf4j:jcl-over-slf4j:1.5.6,30125
org.nakedobjects:nof-reflector-core:3.0.3,30125
org.nakedobjects:nof-core:3.0.3,30125
org.nakedobjects:no-application-library:3.0.3,30125
org.nakedobjects:no-architecture:3.0.3,30125
log4j:log4j:1.2.8,30125
org.hibernate:hibernate-search:3.4.2.Final,30125
org.hibernate:hibernate-search-analyzers:3.4.2.Final,30125
org.apache.solr:solr-analysis-extras:3.1.0,30125
org.apache.solr:solr-core:3.1.0,30125
org.apache.solr:solr-solrj:3.1.0,30125
org.apache.lucene:lucene-highlighter:3.1.0,30125
org.apache.lucene:lucene-memory:3.1.0,30125
org.apache.lucene:lucene-misc:3.1.0,30125
org.apache.lucene:lucene-spatial:3.1.0,30125
org.apache.lucene:lucene-spellchecker:3.1.0,30125
org.apache.solr:solr-commons-csv:3.1.0,30125
commons-lang:commons-lang:2.4,30125
org.apache.lucene:lucene-smartcn:3.1.0,30125
org.apache.lucene:lucene-stempel:3.1.0,30125
org.hibernate:hibernate-core:3.6.10.Final,30125
commons-collections:commons-collections:3.1,30125
org.apache.lucene:lucene-core:3.1.0,30125
org.apache.lucene:lucene-analyzers:3.1.0,30125
org.hibernate.javax.persistence:hibernate-jpa-2.0-api:1.0.1.Final,30125
jgroups:jgroups:2.8.0.GA,30125
org.glassfish.build:maven-glassfishbuild-plugin:3.1-b39,30125
commons-io:commons-io:1.3.1,30125
com.sun.enterprise:hk2-maven:1.0.74,30125
com.sun.enterprise:hk2-core:1.0.74,30125
org.glassfish.hk2:class-model:1.0.74,30125
org.apache.maven:maven-artifact:2.0.4,30125
org.osgi:osgi_R4_core:1.0,30125
org.apache.maven:maven-plugin-api:2.0,30125
org.apache.maven:maven-core:2.0.7,30125
org.apache.maven:maven-settings:2.0.7,30125
org.apache.maven.wagon:wagon-file:1.0-beta-2,30125
org.apache.maven:maven-plugin-parameter-documenter:2.0.7,30125
org.apache.maven.wagon:wagon-http-lightweight:1.0-beta-2,30125
org.apache.maven.wagon:wagon-http-shared:1.0-beta-2,30125
jtidy:jtidy:4aug2000r7-dev,30125
org.apache.maven.reporting:maven-reporting-api:2.0.7,30125
org.apache.maven.doxia:doxia-sink-api:1.0-alpha-7,30125
org.apache.maven:maven-profile:2.0.7,30125
org.apache.maven:maven-model:2.0.7,30125
org.apache.maven.wagon:wagon-provider-api:1.0-beta-2,30125
org.codehaus.plexus:plexus-container-default:1.0-alpha-9-stable-1,30125
org.apache.maven:maven-repository-metadata:2.0.7,30125
org.apache.maven:maven-error-diagnostics:2.0.7,30125
commons-cli:commons-cli:1.0,30125
org.apache.maven.wagon:wagon-ssh-external:1.0-beta-2,30125
org.apache.maven.wagon:wagon-ssh-common:1.0-beta-2,30125
org.apache.maven:maven-plugin-descriptor:2.0.7,30125
org.codehaus.plexus:plexus-interactivity-api:1.0-alpha-4,30125
org.apache.maven:maven-artifact-manager:2.0.7,30125
org.apache.maven:maven-monitor:2.0.7,30125
org.apache.maven.wagon:wagon-ssh:1.0-beta-2,30125
com.jcraft:jsch:0.1.27,30125
org.codehaus.plexus:plexus-utils:1.4.1,30125
classworlds:classworlds:1.1,30125
org.apache.maven.scm:maven-scm-api:1.0-beta-3,30125
org.apache.maven.plugins:maven-scm-plugin:1.0-beta-3,30125
org.apache.maven.scm:maven-scm-provider-vss:1.0-beta-3,30125
org.apache.maven.scm:maven-scm-provider-perforce:1.0-beta-3,30125
regexp:regexp:1.3,30125
org.apache.maven.scm:maven-scm-provider-bazaar:1.0-beta-3,30125
org.apache.maven.scm:maven-scm-manager-plexus:1.0-beta-3,30125
org.apache.maven.scm:maven-scm-provider-local:1.0-beta-3,30125
org.apache.maven.scm:maven-scm-provider-svnexe:1.0-beta-3,30125
org.apache.maven.scm:maven-scm-provider-svn-commons:1.0-beta-3,30125
org.apache.maven.scm:maven-scm-provider-clearcase:1.0-beta-3,30125
org.apache.maven.scm:maven-scm-provider-cvsexe:1.0-beta-3,30125
org.apache.maven.scm:maven-scm-provider-cvs-commons:1.0-beta-3,30125
org.apache.maven.scm:maven-scm-provider-starteam:1.0-beta-3,30125
org.apache.maven:maven-project:2.0,30125
org.apache.maven:maven-archiver:2.0,30125
