artifact,betweenness_centrality
org.glassfish.packager:glassfish-registration:3.1.1-b01,1128
org.glassfish.packager:glassfish-gui:3.0.1-b08,1124
org.glassfish.packager:glassfish-web:3.0-b74a,1122
org.glassfish.packager:glassfish-corba:3.1-b30,1120
commons-digester:commons-digester:1.8,1114.4
org.glassfish.packager:glassfish-web:3.0-b74,1114
org.glassfish.packager:glassfish-osgi-admin-console:3.1-b12,1110
com.sun.enterprise:osgi-adapter:1.0.25,1104.5
org.glassfish.packager:glassfish-jca:3.1-b31,1104
org.glassfish.packager:glassfish-common-tmp:3.1.1-b11,1099
org.glassfish.packager:glassfish-corba:3.0-b74a,1098.16666666667
org.glassfish.packager:glassfish-nucleus:3.1.1-b01,1097.5
xom:xom:1.0,1090
org.glassfish.packager:glassfish-jca:3.1-b40,1090
org.glassfish.packager:glassfish-jca:3.1-b30,1088
org.glassfish.packager:glassfish-osgi-http:3.1-b31,1080
org.glassfish.packager:glassfish-registration:3.1-b31,1080
org.glassfish.packager:glassfish-jta:3.1-b31,1079
org.glassfish.packager:glassfish-jta:3.0-b74,1078
org.glassfish.packager:shoal:3.1.1-b02,1077
org.glassfish.packager:glassfish-javahelp:3.0.1-b08,1069
org.glassfish.packager:glassfish-upgrade:3.0.1-b08,1067.16666666667
org.glassfish.packager:glassfish-jta:3.1-b30,1066
org.glassfish.packager:glassfish-registration:3.1-b30,1062
org.glassfish.packager:glassfish-registration:3.0.1-b08,1061.16666666667
org.glassfish.packager:glassfish-cluster:3.1.1-b11,1061
org.glassfish.packager:glassfish-jpa:3.1-b40,1058
org.glassfish.packager:glassfish-management:3.1-b31,1054
org.glassfish.packager:glassfish-javahelp:3.1.1-b02,1053
org.glassfish.packager:glassfish-management:3.1.1-b01,1046
org.glassfish.packager:glassfish-jpa:3.1.1-b01,1040
org.glassfish.packager:glassfish-management:3.1-b30,1037
org.glassfish.packager:glassfish-jca:3.1.1-b01,1037
org.glassfish.packager:glassfish-jpa:3.0-b74a,1036
org.glassfish.packager:glassfish-common-full:3.1-b30,1036
org.glassfish.packager:glassfish-jms:3.1.1-b10,1035
org.glassfish.packager:glassfish-ha:3.1-b31,1029
org.glassfish.packager:glassfish-ejb-lite:3.1-b30,1028
org.glassfish.packager:glassfish-upgrade:3.1-b31,1026
org.glassfish.packager:shoal:3.1.1-b11,1026
org.glassfish.packager:glassfish-jta:3.0-b74a,1023.33333333333
org.glassfish.common:internal-api:3.1-b41,1023
org.glassfish.packager:glassfish-jdbc:3.1-b12,1021
org.glassfish.packager:glassfish-management:3.0.1-b08,1018
org.glassfish.packager:glassfish-osgi-http:3.0-b74,1018
org.glassfish.packager:glassfish-ha:3.1.1-b11,1014
org.glassfish.packager:glassfish-grizzly-full:3.1.1-b01,1009
org.glassfish.packager:glassfish-osgi-gui:3.1-b31,1008
org.glassfish.packager:glassfish-jsf:3.1-b31,1008
org.glassfish.packager:glassfish-jsf:3.0-b74,1008
org.glassfish.packager:glassfish-ha:3.1-b30,1008
org.glassfish.packager:glassfish-upgrade:3.1-b30,1007
org.glassfish.packager:glassfish-corba:3.1.1-b01,1001
org.glassfish.packager:glassfish-javahelp:3.1-b31,1000
org.glassfish.packager:glassfish-upgrade:3.1.1-b02,1000
org.glassfish.packager:glassfish-jsf:3.1-b30,996
org.glassfish.admin:config-api:3.1-b41,993
org.glassfish.packager:glassfish-ejb-lite:3.0-b63,988
org.glassfish.packager:glassfish-osgi-http:3.0-b74a,985
org.glassfish.packager:glassfish-jdbc:3.1-b31,984
commons-digester:commons-digester:1.7,982.483333333334
org.glassfish.packager:glassfish-javahelp:3.1-b30,980
org.glassfish.packager:glassfish-ejb-lite:3.0.1-b08,976
org.glassfish.packager:glassfish-cluster:3.1-b31,968
org.glassfish.packager:glassfish-corba-base:3.1.1-b01,964
org.glassfish.packager:glassfish-gui:3.1-b12,955
org.glassfish.packager:glassfish-corba:3.1-b40,954
org.glassfish.packager:glassfish-jdbc:3.0-b74a,952
org.glassfish.packager:glassfish-jdbc:3.0-b74,950
org.glassfish.packager:glassfish-cluster:3.1-b30,946
org.glassfish.packager:glassfish-gui:3.0-b74a,944
org.glassfish.packager:glassfish-common-full:3.0-b74a,943.5
org.glassfish.packager:glassfish-registration:3.1.1-b02,939
org.glassfish.packager:glassfish-gui:3.1-b31,938
org.glassfish.packager:glassfish-jsf:3.0-b74a,933
org.glassfish.packager:glassfish-jca:3.0-b74a,931
org.glassfish.packager:glassfish-javahelp:3.1.1-b11,921
com.sun.enterprise:config:1.1.0,912.25
org.glassfish.packager:glassfish-gui:3.0-b74,905
org.glassfish.packager:glassfish-common-tmp:3.1.1,903
org.glassfish.packager:glassfish-common-full:3.0-b63,899
org.glassfish.packager:glassfish-jta:3.1.1-b01,888
org.glassfish.packager:glassfish-common-tmp:3.1.1-b05,886
org.glassfish.packager:glassfish-ha:3.1-b40,885
org.glassfish.packager:glassfish-registration:3.0-b74a,883
org.glassfish.packager:glassfish-common-full:3.0.1-b08,882
com.sun.enterprise:hk2-core:1.0.25,877.666666666667
org.glassfish.packager:glassfish-cluster:3.1.1-b05,876
org.glassfish.packager:glassfish-common-tmp:3.0-b74a,874
org.glassfish.packager:glassfish-cluster:3.1-b40,864
org.glassfish.packager:glassfish-management:3.0-b74a,856
org.apache.abdera:abdera-parser:0.4.0-incubating,854.9
org.glassfish.packager:glassfish-ejb-lite:3.0-b74a,852.833333333333
org.glassfish.packager:glassfish-management:3.1.1-b02,852
org.glassfish.packager:glassfish-upgrade:3.1.1-b11,850
org.glassfish.packager:glassfish-ejb-lite:3.1-b31,846
org.glassfish.packager:glassfish-ha:3.1.1-b05,843
org.glassfish.packager:glassfish-nucleus:3.1.1-b02,843
org.glassfish.packager:glassfish-javahelp:3.1-b40,840
org.glassfish.packager:glassfish-jts:3.1-b30,836
org.glassfish.packager:glassfish-upgrade:3.1-b40,832
org.glassfish.packager:glassfish-ejb-lite:3.1-b12,831
org.glassfish.packager:shoal:3.1.1-b05,827
org.glassfish.packager:glassfish-osgi-http:3.1.1-b01,818
