artifact,hcentrality
org.ow2.jonas.camel:package-sources:1.5.4,0
com.capgemini.platina:platina:5,0
org.codehaus.cargo:two-datasources-war:1.0.6,0
org.ow2.orchestra.console:org.ow2.orchestra.console.service.commons:4.3.0,0
org.ow2.mind:fractal-runtime:0.2.2,0
org.objectweb.petals:petals-tools:2,0
org.glassfish.metro:webservices-extra-api:2.1.1-b01,0
org.ow2.util:util-marshalling:1.0.11,0
org.codehaus.groovy.maven.support:gmaven-support:1.0-rc-3,0
org.odata4j:odata4j-parent:0.6.0,0
org.ow2.wildcat:wildcat:2.1.1,0
org.ancoron.postgresql:org.ancoron.postgresql.jpa.test:8.4.702.jdbc4.1-rc5,0
org.jvnet.hudson.plugins:configurationslicing:1.11,0
org.codehaus.fabric3:fabric3-kernel-parent-pom:1.8,0
org.sonatype.appbooter.plexus-platforms:plexus-platforms:1.2,0
net.officefloor.maven:maven:2.3.0,0
org.ajoberstar:gradle-plugins:0.1.0,0
org.jvnet.ogc:wms-v_1_0_0:1.0.0,0
org.glassfish:osgi-javaee:3.0.1-b12,0
org.openengsb.build:shared-plugin-settings:1.1.0.M3,0
com.sun.grizzly.samples:grizzly-comet-chat-iframe:1.9.4,0
org.jasig.portal:uportal-parent:3.0.0,0
org.apache.uima:parent-pom-annotator:2,0
org.glassfish.orb:orb:3.0-b73,0
org.seleniumhq.selenium:selenium-parent:2.8.0,0
org.codehaus.mojo.archetypes:nbm-archetype:1.0.1,0
org.apache.geronimo.bundles:dwr:3.0.M1_1,0
org.sonatype.nexus:nexus-it-helper-plugin:2.1-RC1,0
classworlds:classworlds:1.0-beta-2,0
com.projectdarkstar.client:sgs-tutorial-client:0.9.10,0
opensymphony:xwork:2.0.0-j4,0
org.openengsb.docs:openengsb-docs-manual:1.2.0.M2,0
org.mobicents.servlet.sip.examples:shootist-sip-servlet-distributable:1.7.0.FINAL,0
com.sun.grizzly.samples:grizzly-comet-chat-iframe:1.9.12,0
org.glassfish.main.flashlight:flashlight-extra-jdk-packages:3.1.2,0
com.proofpoint.platform:packaging:0.69,0
org.sonatype.appbooter.plexus-platforms:plexus-platform-jsw:1.6.0,0
org.glassfish.jdbc.jdbc-ra:jdbc-ra:3.1-b13,0
org.ow2.easybeans.osgi:easybeans-osgi-itests-base:1.1.1,0
org.glassfish.hk2:sdp-management-bundle:2.1.48,0
org.codehaus.plexus.redback:redback:1.0.2,0
org.apache.struts:struts2-archetype-blank:2.3.8,0
com.sun.grizzly.samples:grizzly-comet-chat:1.9.25,0
org.ow2.easybeans.osgi:easybeans-osgi-itests:1.1.0-M1-JONAS,0
com.sun.grizzly.samples:grizzly-comet-jmaki:1.9.11,0
org.jruby:jruby-complete:1.6.0.RC2,0
com.cedarsoft.commons.old:license:3.0.0,0
org.wamblee:wamblee-support-inject:0.7,0
org.jboss.weld:weld-api-parent:1.1.0-01-glassfish,0
org.primefaces.extensions:resources-ckeditor:0.4.0,0
org.codehaus.mojo.archetypes:webapp-j2ee14:1.3,0
org.glassfish.admingui:console-jts-plugin-help:3.2-b01,0
org.xwiki.commons:xwiki-commons-repository-model:4.4-rc-1,0
org.ow2.spec.ee:ow2-jws-2.0-spec:1.0.2,0
org.glassfish.admingui:console-ejb-plugin:3.1-b15,0
org.datanucleus:datanucleus-awtgeom:3.2.0-m1,0
xerces:xmlParserAPIs:2.6.1,0
com.ibm.icu:icu4j:49.1,0
org.glassfish.distributions:distributions:3.0-b29,0
