artifact,community
org.glassfish.hk2.external:asm-all-repackaged:1.0.74,161
org.jclouds.labs:greenqloud-storage:1.5.0-beta.4,162
org.jclouds.api:s3:1.5.0-beta.4,163
com.jamesmurty.utils:java-xmlbuilder:0.4,164
org.jclouds.common:aws-common:1.5.0-beta.4,165
org.jclouds:jclouds-core:1.5.0-beta.4,166
net.oauth.core:oauth:20100527,167
com.sun.jersey:jersey-core:1.12,168
com.google.inject.extensions:guice-assistedinject:3.0,169
org.99soft.guice:rocoto:6.1,170
javax.annotation:jsr250-api:1.0,171
com.google.code.gson:gson:2.2,172
org.jclouds:jclouds-blobstore:1.5.0-beta.4,173
org.clojure:clojure:1.3.0,174
org.clojure:tools.logging:0.2.3,175
org.clojure:core.incubator:0.1.0,176
org.glassfish.orb:orb-connector:3.0.1-b18,177
com.sun.corba:glassfish-corba-orbgeneric:3.0.1-b001,178
com.sun.corba:glassfish-corba-omgapi:3.0.1-b001,179
com.sun.enterprise:hk2:1.0.0,180
com.sun.enterprise:hk2-core:1.0.0,181
com.sun.enterprise:config:1.0.0,182
com.sun.enterprise:tiger-types-osgi:1.0.0,183
org.glassfish:bean-validator:3.0-JBoss-4.0.2,184
com.sun.enterprise:auto-depends:1.0.0,185
org.glassfish.deployment:dol:3.0.1-b18,186
org.glassfish:javax.servlet:3.0.1-b18,187
org.glassfish:javax.annotation:3.0.1-b18,188
org.glassfish:javax.transaction:3.0.1-b18,189
org.glassfish:javax.enterprise.deploy:3.0.1-b18,190
org.eclipse.persistence:javax.persistence:2.0.0,191
org.glassfish:javax.resource:3.0.1-b18,192
org.glassfish.common:common-util:3.0.1-b18,193
org.glassfish.deployment:deployment-common:3.0.1-b18,194
org.glassfish.common:internal-api:3.0.1-b18,195
org.glassfish.external:asm-all-repackaged:3.0.1-b18,196
org.glassfish.common:glassfish-api:3.0.1-b18,197
com.sun.enterprise:config-types:1.0.0,198
com.sun.grizzly:grizzly-utils:1.9.18-o,199
org.glassfish.common:annotation-framework:3.0.1-b18,200
org.glassfish:javax.ejb:3.0.1-b18,201
org.glassfish.admin:config-api:3.0.1-b18,202
com.sun.grizzly:grizzly-config:1.9.18-o,203
com.sun.grizzly:grizzly-http:1.9.18-o,204
com.sun.grizzly:grizzly-framework:1.9.18-o,205
com.sun.grizzly:grizzly-rcm:1.9.18-o,206
com.sun.grizzly:grizzly-portunif:1.9.18-o,207
com.sun.enterprise:osgi-adapter:1.0.0,208
org.glassfish.admin:monitoring-core:3.0.1-b18,209
org.glassfish.common:stats77:3.0.1-b18,210
org.glassfish.flashlight:flashlight-framework:3.0.1-b18,211
org.glassfish.flashlight:flashlight-agent:3.0.1-b18,212
com.sun:tools:1.6.0,213
org.glassfish.external:management-api:3.0.0-b012,214
org.glassfish.gmbal:gmbal:3.0.0-b023,215
org.jomc:jomc-ant-tasks:1.2.2,216
org.jomc:jomc-util:1.2,217
org.jomc:jomc-modlet:1.2,218
org.jomc:jomc-model:1.2,219
org.jomc:jomc-tools:1.2.2,220
org.apache.bcel:bcel:5.2,221
jakarta-regexp:jakarta-regexp:1.4,222
commons-io:commons-io:2.1,223
org.apache.velocity:velocity:1.7,224
org.sonatype.nexus:nexus-simple-memory-realm:1.4.0,225
org.sonatype.security:security-system:1.1.3,226
org.jsecurity:jsecurity:0.9.0-RC2-sonatype,227
commons-beanutils:commons-beanutils:1.7.0,228
org.codehaus.plexus:plexus-container-default:1.2.1.4,229
org.codehaus.plexus:plexus-classworlds:1.4,230
org.apache.xbean:xbean-reflect:3.4,231
com.google.code.google-collections:google-collect:snapshot-20080530,232
junit:junit:3.8.2,233
org.codehaus.plexus:plexus-component-annotations:1.2.1,234
org.sonatype.spice:plexus-ehcache:1.0.2,235
net.sf.ehcache:ehcache:1.5.0,236
backport-util-concurrent:backport-util-concurrent:3.1,237
commons-collections:commons-collections:3.2,238
net.sf.jsr107cache:jsr107cache:1.0,239
org.codehaus.plexus:plexus-interpolation:1.6,240
org.sonatype.plexus.appevents:plexus-app-events-api:1.0.0,241
org.sonatype.plexus.appevents:simple-event-multicaster:1.0.0,242
commons-codec:commons-codec:1.4,243
org.sonatype.configuration:base-configuration:1.0,244
org.mortbay.jetty:servlet-api-2.5:6.1.12,245
org.sonatype.security:security-configuration:1.1.3,246
org.sonatype.plexus:plexus-cipher:1.5,247
org.easymock:easymock:2.4,248
org.codehaus.plexus:plexus-utils:1.5.5,249
org.slf4j:slf4j-api:1.5.6,250
org.slf4j:slf4j-log4j12:1.5.6,251
org.slf4j:jcl-over-slf4j:1.5.6,252
org.nakedobjects:nof-reflector-core:3.0.3,253
org.nakedobjects:nof-core:3.0.3,254
org.nakedobjects:no-application-library:3.0.3,255
org.nakedobjects:no-architecture:3.0.3,256
log4j:log4j:1.2.8,257
org.hibernate:hibernate-search:3.4.2.Final,258
org.hibernate:hibernate-search-analyzers:3.4.2.Final,259
org.apache.solr:solr-analysis-extras:3.1.0,260
org.apache.solr:solr-core:3.1.0,261
org.apache.solr:solr-solrj:3.1.0,262
org.apache.lucene:lucene-highlighter:3.1.0,263
org.apache.lucene:lucene-memory:3.1.0,264
org.apache.lucene:lucene-misc:3.1.0,265
org.apache.lucene:lucene-spatial:3.1.0,266
org.apache.lucene:lucene-spellchecker:3.1.0,267
org.apache.solr:solr-commons-csv:3.1.0,268
commons-lang:commons-lang:2.4,269
org.apache.lucene:lucene-smartcn:3.1.0,270
org.apache.lucene:lucene-stempel:3.1.0,271
org.hibernate:hibernate-core:3.6.10.Final,272
commons-collections:commons-collections:3.1,273
org.apache.lucene:lucene-core:3.1.0,274
org.apache.lucene:lucene-analyzers:3.1.0,275
org.hibernate.javax.persistence:hibernate-jpa-2.0-api:1.0.1.Final,276
jgroups:jgroups:2.8.0.GA,277
org.glassfish.build:maven-glassfishbuild-plugin:3.1-b39,278
commons-io:commons-io:1.3.1,279
com.sun.enterprise:hk2-maven:1.0.74,280
com.sun.enterprise:hk2-core:1.0.74,281
org.glassfish.hk2:class-model:1.0.74,282
org.apache.maven:maven-artifact:2.0.4,283
org.osgi:osgi_R4_core:1.0,284
org.apache.maven:maven-plugin-api:2.0,285
org.apache.maven:maven-core:2.0.7,286
org.apache.maven:maven-settings:2.0.7,287
org.apache.maven.wagon:wagon-file:1.0-beta-2,288
org.apache.maven:maven-plugin-parameter-documenter:2.0.7,289
org.apache.maven.wagon:wagon-http-lightweight:1.0-beta-2,290
org.apache.maven.wagon:wagon-http-shared:1.0-beta-2,291
jtidy:jtidy:4aug2000r7-dev,292
org.apache.maven.reporting:maven-reporting-api:2.0.7,293
org.apache.maven.doxia:doxia-sink-api:1.0-alpha-7,294
org.apache.maven:maven-profile:2.0.7,295
org.apache.maven:maven-model:2.0.7,296
org.apache.maven.wagon:wagon-provider-api:1.0-beta-2,297
org.codehaus.plexus:plexus-container-default:1.0-alpha-9-stable-1,298
org.apache.maven:maven-repository-metadata:2.0.7,299
org.apache.maven:maven-error-diagnostics:2.0.7,300
commons-cli:commons-cli:1.0,301
org.apache.maven.wagon:wagon-ssh-external:1.0-beta-2,302
org.apache.maven.wagon:wagon-ssh-common:1.0-beta-2,303
org.apache.maven:maven-plugin-descriptor:2.0.7,304
org.codehaus.plexus:plexus-interactivity-api:1.0-alpha-4,305
org.apache.maven:maven-artifact-manager:2.0.7,306
org.apache.maven:maven-monitor:2.0.7,307
org.apache.maven.wagon:wagon-ssh:1.0-beta-2,308
com.jcraft:jsch:0.1.27,309
org.codehaus.plexus:plexus-utils:1.4.1,310
classworlds:classworlds:1.1,311
org.apache.maven.scm:maven-scm-api:1.0-beta-3,312
org.apache.maven.plugins:maven-scm-plugin:1.0-beta-3,313
org.apache.maven.scm:maven-scm-provider-vss:1.0-beta-3,314
org.apache.maven.scm:maven-scm-provider-perforce:1.0-beta-3,315
regexp:regexp:1.3,316
org.apache.maven.scm:maven-scm-provider-bazaar:1.0-beta-3,317
org.apache.maven.scm:maven-scm-manager-plexus:1.0-beta-3,318
org.apache.maven.scm:maven-scm-provider-local:1.0-beta-3,319
org.apache.maven.scm:maven-scm-provider-svnexe:1.0-beta-3,320
org.apache.maven.scm:maven-scm-provider-svn-commons:1.0-beta-3,321
org.apache.maven.scm:maven-scm-provider-clearcase:1.0-beta-3,322
org.apache.maven.scm:maven-scm-provider-cvsexe:1.0-beta-3,323
org.apache.maven.scm:maven-scm-provider-cvs-commons:1.0-beta-3,324
org.apache.maven.scm:maven-scm-provider-starteam:1.0-beta-3,325
org.apache.maven:maven-project:2.0,326
org.apache.maven:maven-archiver:2.0,327
org.codehaus.plexus:plexus-archiver:1.0-alpha-3,328
org.apache.ant:ant:1.7.0,329
org.apache.ant:ant-launcher:1.7.0,330
com.sun.grizzly.samples:grizzly-comet-chat-iframe:1.9.15b,331
org.apache.geronimo.testsupport:test-war-javaee_5:3.0.0,332
org.jbehave:jbehave-odf:3.5-beta-1,333
org.jbehave:jbehave-core:3.5-beta-1,334
com.thoughtworks.paranamer:paranamer:2.3,335
org.odftoolkit:odfdom-java:0.8.7,336
xml-apis:xml-apis:1.3.04,337
com.sun.grizzly:grizzly-http-servlet-deployer:1.9.35,338
com.sun.grizzly:grizzly-http:1.9.35,339
com.sun.grizzly:grizzly-framework:1.9.35,340
com.sun.grizzly:grizzly-rcm:1.9.35,341
com.sun.grizzly:grizzly-portunif:1.9.35,342
com.sun.grizzly:grizzly-utils:1.9.35,343
com.sun.grizzly:grizzly-lzma:1.9.35,344
com.sun.grizzly:grizzly-http-servlet:1.9.35,345
com.sun.grizzly:grizzly-servlet-deployer:1.9.35,346
com.sun.grizzly:grizzly-compat:1.9.35,347
com.sun.grizzly:grizzly-comet:1.9.35,348
com.sun.grizzly:grizzly-cometd:1.9.35,349
com.sun.grizzly:grizzly-websockets:1.9.35,350
javax.servlet:servlet-api:2.5,351
org.seleniumhq.selenium:selenium-support:2.0b2,352
org.seleniumhq.selenium:selenium-api:2.0b2,353
com.google.guava:guava:r07,354
org.hamcrest:hamcrest-all:1.1,355
junit:junit:4.8.1,356
org.kohsuke:graphviz-api:1.1,357
de.huxhorn.lilith:de.huxhorn.lilith.logback.appender.multiplex-access:0.9.30,358
de.huxhorn.lilith:de.huxhorn.lilith.logback.appender.multiplex-core:0.9.30,359
de.huxhorn.lilith:de.huxhorn.lilith.sender:0.9.30,360
de.huxhorn.sulky:de.huxhorn.sulky.io:0.9.3,361
de.huxhorn.sulky:de.huxhorn.sulky.generics:0.9.3,362
ch.qos.logback:logback-core:0.9.9,363
de.huxhorn.lilith:de.huxhorn.lilith.data.access:0.9.30,364
de.huxhorn.lilith:de.huxhorn.lilith.data.eventsource:0.9.30,365
org.slf4j:slf4j-api:1.5.0,366
de.huxhorn.lilith:de.huxhorn.lilith.logback.access-adapter:0.9.30,367
ch.qos.logback:logback-access:0.9.9,368
org.apache.myfaces.tobago:maven-apt-plugin:1.0.18,369
org.codehaus.plexus:plexus-compiler-javac:1.5.3,370
org.codehaus.plexus:plexus-compiler-api:1.5.3,371
org.codehaus.plexus:plexus-container-default:1.0-alpha-8,372
junit:junit:4.4,373
org.apache.maven:maven-plugin-api:2.0.5,374
org.apache.maven:maven-project:2.0.5,375
org.apache.maven:maven-settings:2.0.5,376
org.apache.maven:maven-profile:2.0.5,377
org.apache.maven:maven-model:2.0.5,378
org.apache.maven:maven-artifact-manager:2.0.5,379
org.apache.maven:maven-repository-metadata:2.0.5,380
org.apache.maven:maven-artifact:2.0.5,381
org.codehaus.plexus:plexus-utils:1.0.5,382
classworlds:classworlds:1.1-alpha-2,383
org.glassfish.orb:orb-connector:3.1-b35,384
com.sun.corba:glassfish-corba-orbgeneric:3.1.0-b019,385
com.sun.corba:glassfish-corba-omgapi:3.1.0-b019,386
com.sun.corba:glassfish-corba-internal-api:3.1.0-b019,387
com.sun.enterprise:hk2:1.0.72,388
com.sun.enterprise:hk2-core:1.0.72,389
org.glassfish.hk2:class-model:1.0.72,390
com.sun.enterprise:config:1.0.72,391
org.glassfish.hk2.external:bean-validator:1.0.72,392
com.sun.enterprise:auto-depends:1.0.72,393
org.glassfish.hk2.external:asm-all-repackaged:1.0.72,394
org.glassfish.deployment:dol:3.1-b35,395
org.glassfish:javax.servlet:3.1-b35,396
org.glassfish:javax.annotation:3.1-b35,397
org.glassfish:javax.transaction:3.1-b35,398
org.glassfish:javax.enterprise.deploy:3.1-b35,399
org.eclipse.persistence:javax.persistence:2.0.3,400
org.glassfish:javax.resource:3.1-b35,401
org.glassfish.common:common-util:3.1-b35,402
org.glassfish.deployment:deployment-common:3.1-b35,403
org.glassfish.common:internal-api:3.1-b35,404
org.glassfish.common:annotation-framework:3.1-b35,405
org.glassfish:javax.ejb:3.1-b35,406
org.glassfish.common:glassfish-api:3.1-b35,407
org.glassfish.common:scattered-archive-api:3.1-b35,408
com.sun.enterprise:config-types:1.0.72,409
com.sun.grizzly:grizzly-utils:1.9.27,410
com.sun.grizzly:grizzly-lzma:1.9.27,411
org.glassfish.admin:config-api:3.1-b35,412
com.sun.grizzly:grizzly-config:1.9.27,413
com.sun.enterprise:osgi-adapter:1.0.72,414
com.sun.grizzly:grizzly-http:1.9.27,415
com.sun.grizzly:grizzly-framework:1.9.27,416
com.sun.grizzly:grizzly-rcm:1.9.27,417
com.sun.grizzly:grizzly-portunif:1.9.27,418
org.glassfish.admin:monitoring-core:3.1-b35,419
org.glassfish.common:stats77:3.1-b35,420
org.glassfish.flashlight:flashlight-framework:3.1-b35,421
org.glassfish.flashlight:flashlight-agent:3.1-b35,422
org.fusesource.scalate:scalate-guice:1.4.0,423
org.fusesource.scalate:scalate-core:1.4.0,424
org.fusesource.scalate:scalate-util:1.4.0,425
com.sun.jersey.contribs:jersey-guice:1.5,426
com.sun.jersey:jersey-server:1.5,427
com.sun.jersey:jersey-core:1.5,428
asm:asm:3.1,429
com.google.inject.extensions:guice-servlet:2.0,430
com.google.inject:guice:2.0,431
org.wicketstuff:multi-text-input-examples:1.4.10,432
org.wicketstuff:multi-text-input:1.4.10,433
org.wicketstuff:prototype:1.4.10,434
org.apache.wicket:wicket-extensions:1.4-rc2,435
org.apache.wicket:wicket:1.4-rc2,436
org.slf4j:slf4j-api:1.5.11,437
org.slf4j:slf4j-log4j12:1.5.11,438
org.drools:drools-jsr94:5.5.0.Final,439
org.drools:drools-core:5.5.0.Final,440
org.mvel:mvel2:2.1.3.Final,441
org.drools:knowledge-api:5.5.0.Final,442
org.drools:knowledge-internal-api:5.5.0.Final,443
org.drools:drools-compiler:5.5.0.Final,444
org.antlr:antlr-runtime:3.3,445
org.antlr:antlr:3.3,446
org.antlr:stringtemplate:3.2.1,447
antlr:antlr:2.7.7,448
org.eclipse.jdt.core.compiler:ecj:3.5.1,449
org.drools:drools-decisiontables:5.5.0.Final,450
org.drools:drools-templates:5.5.0.Final,451
net.sourceforge.jexcelapi:jxl:2.6.10,452
jsr94:jsr94:1.1,453
org.apache.james:apache-james-mpt-app:0.1,454
org.apache.james:apache-james-mpt-main:0.1,455
commons-logging:commons-logging:1.1,456
junit:junit:3.8.1,457
commons-cli:commons-cli:1.1,458
org.jvnet.hudson.main:maven-agent:1.95,459
org.jvnet.hudson.main:maven-interceptor:1.95,460
org.apache.maven:maven-core:2.0.4,461
org.apache.maven:maven-settings:2.0.4,462
org.apache.maven.wagon:wagon-file:1.0-alpha-7,463
org.apache.maven:maven-plugin-parameter-documenter:2.0.4,464
org.apache.maven.wagon:wagon-http-lightweight:1.0-alpha-6,465
org.apache.maven.reporting:maven-reporting-api:2.0.4,466
org.apache.maven:maven-profile:2.0.4,467
org.apache.maven:maven-model:2.0.4,468
org.apache.maven.wagon:wagon-provider-api:1.0-alpha-6,469
org.codehaus.plexus:plexus-container-default:1.0-alpha-9,470
org.apache.maven:maven-repository-metadata:2.0.4,471
org.apache.maven:maven-error-diagnostics:2.0.4,472
org.apache.maven:maven-project:2.0.4,473
org.apache.maven:maven-plugin-registry:2.0.4,474
org.apache.maven:maven-plugin-api:2.0.4,475
org.apache.maven.wagon:wagon-ssh-external:1.0-alpha-6,476
org.apache.maven:maven-plugin-descriptor:2.0.4,477
org.apache.maven:maven-artifact-manager:2.0.4,478
org.apache.maven:maven-monitor:2.0.4,479
org.apache.maven.wagon:wagon-ssh:1.0-alpha-7,480
com.jcraft:jsch:0.1.24,481
org.codehaus.plexus:plexus-utils:1.1,482
org.apache.james:apache-mailet-api:2.5.0,483
javax.mail:mail:1.4.4,484
javax.activation:activation:1.1.1,485
org.eclipse.jetty:jetty-servlet:7.0.0.M2,486
org.eclipse.jetty:jetty-security:7.0.0.M2,487
org.eclipse.jetty:jetty-server:7.0.0.M2,488
org.eclipse.jetty:jetty-continuation:7.0.0.M2,489
org.eclipse.jetty:jetty-http:7.0.0.M2,490
org.eclipse.jetty:jetty-io:7.0.0.M2,491
org.eclipse.jetty:jetty-util:7.0.0.M2,492
org.ow2.jonas:jonas-discovery-base:5.2.3,493
org.ow2.jonas:jonas-commons:5.2.3,494
org.ow2.jonas:jonas-version:5.2.3,495
org.ow2.jonas.osgi:javaee-api:5.2.3,496
org.mortbay.jetty:jsp-api-2.1:6.1.5,497
javax.faces:jsf-impl:1.2_08,498
org.objectweb.monolog:monolog-core:2.1.12,499
org.objectweb.monolog:monolog-wrapper-p6spy:2.1.12,500
org.ow2.bundles:ow2-util-log:1.0.27,501
org.ow2.util:util-log:1.0.29,502
p6spy:p6spy:1.3,503
org.ow2.bundles:ow2-util-file:1.0.27,504
org.ow2.util:util-file:1.0.29,505
org.ow2.bundles:ow2-util-url:1.0.27,506
org.ow2.util:util-url:1.0.29,507
org.ow2.jonas:jonas-bootstrap-loader:5.2.3,508
org.ow2.jonas:jonas-services-api:5.2.3,509
org.osgi:org.osgi.compendium:4.2.0,510
org.ow2.jonas:jonas-deployment-api:5.2.3,511
org.ow2.bundles:ow2-util-ee-deploy-api:1.0.31,512
org.ow2.util:util-ee-deploy-api:1.0.33,513
org.ow2.util:util-archive-api:1.0.33,514
org.ow2.util:util-plan-deploy-api:1.0.33,515
org.ow2.util:util-plan-schemas:1.0.33,516
javax.xml.bind:jaxb-api:2.1,517
org.ow2.util:util-substitution:1.0.33,518
org.ow2.util:util-ee-deploy-impl:1.0.33,519
org.ow2.util:util-archive-impl:1.0.33,520
org.ow2.util:util-xml:1.0.33,521
org.ow2.util.asm:asm:3.1,522
org.ow2.util.asm:asm-commons:3.1,523
org.ow2.util.asm:asm-tree:3.1,524
org.ow2.util:util-execution:1.0.33,525
org.ow2.bundles:ow2-util-event-api:1.0.27,526
org.ow2.util:util-event-api:1.0.29,527
org.ow2.bundles:ow2-util-ee-metadata-war-api:1.0.27,528
org.ow2.util:util-ee-metadata-war-api:1.0.29,529
org.ow2.util:util-ee-metadata-ws-api:1.0.29,530
org.ow2.easybeans:easybeans-api:1.2.3,531
org.ow2.spec.ee:ow2-ejb-3.0-spec:1.0.6,532
org.ow2.spec.ee:ow2-jpa-1.0-spec:1.0.6,533
org.ow2.spec.ee:ow2-connector-1.5-spec:1.0.6,534
org.ow2.spec.ee:ow2-jsr77-1.1-spec:1.0.6,535
org.ow2.spec.ee:ow2-jta-1.1-spec:1.0.6,536
org.apache.geronimo.specs:geronimo-jaxrpc_1.1_spec:1.1,537
javax.mail:mail:1.4,538
org.ow2.util:util-ee-metadata-common-api:1.0.33,539
org.ow2.util:util-scan-api:1.0.33,540
org.ow2.util:util-pool-api:1.0.33,541
org.ow2.util:audit-report-api:1.0.33,542
org.ow2.util:util-jmx-api:1.0.33,543
org.ow2.jonas:jonas-jmx:5.2.3,544
org.ow2.jonas:jonas-management-javaee:5.2.3,545
org.ow2.jonas:jonas-management-services:5.2.3,546
org.ow2.jonas:jonas-security:5.2.3,547
org.ow2.carol:carol-interceptors:1.0.1,548
org.ow2.jonas:jonas-security-jacc:5.2.3,549
org.ow2.jonas:jonas-security-jacc-handlers:5.2.3,550
org.ow2.jonas:jonas-security-propagation:5.2.3,551
org.ow2.jonas:jonas-security-auth:5.2.3,552
org.ow2.jonas:jonas-management-reconfig:5.2.3,553
commons-digester:commons-digester:2.0,554
org.ow2.jonas:jonas-sec-interceptors-jrmp:5.2.3,555
org.ow2.carol:carol:3.0.8,556
