artifact,trans_usages
gnu-regexp:gnu-regexp:1.1.4,1
org.neo4j:neo4j-management:1.4.2,1
org.codehaus.fabric3:fabric3-spi:1.9,1
com.proofpoint.platform:jmx:0.56,1
org.springframework.batch:spring-batch-infrastructure:2.0.3.RELEASE,2
org.glassfish.connectors:connectors-admin:3.0-b74b,2
org.glassfish.ha:ha-shoal-cache-store:3.1-b17,12
com.sun.enterprise:hk2:1.0.74,178
org.glassfish.common:glassfish-naming:3.1.1-b02,6
org.apache.geronimo.modules:geronimo-webservices:2.1.5,12
org.glassfish.common:amx-j2ee:3.0-b74b,4
org.eclipse.jetty:jetty-jmx:7.6.1.v20120215,1
org.codehaus.enunciate:enunciate-spring-app-rt:1.16-RC3,1
org.glassfish.security:jaspic.provider.framework:3.1.1-b02,4
org.apache.cxf:cxf-rt-management:2.1.10,1
tomcat:jasper-compiler:5.5.12,15
org.glassfish:javax.ejb:3.1-b06,50
org.eclipse.jetty:jetty-io:8.0.0.M1,5
org.apache.cxf:cxf-rt-core:2.0.10,1
com.legsem.legstar:legstar-coxbrt:1.5.3,1
org.ow2.cmi:cmi-api-server:2.0.9,8
org.glassfish.common:stats77:3.1.1-b10,38
org.sonatype.aether:aether-connector-wagon:1.8,7
org.atmosphere:atmosphere-compat-weblogic:0.7.1,5
org.glassfish.connectors:descriptors:3.1.1,1
org.ow2.easybeans:easybeans-component-smartclient-api:1.1.0-M3,4
com.sun.enterprise:auto-depends:1.0.55,10
org.xwiki.commons:xwiki-commons-component-api:4.1-milestone-2,3
org.glassfish.ejb:ejb-timer-databases:3.0-b74a,7
org.jboss.arquillian.protocol:arquillian-protocol-osgi:1.0.0.Alpha4.SP2,1
com.sun.enterprise:tiger-types-osgi:0.3.15,5
org.ow2.util:util-jmx-api:1.0.13,33
org.slf4j:slf4j-log4j12:1.3.1,2
org.glassfish.deployment:deployment-client:3.1-b08,4
org.glassfish.connectors:connectors-internal-api:3.1.1-b09,1
org.springframework:spring:2.0,1
org.glassfish.packager:felix:3.0-b72,45
org.glassfish.packager:javadb:3.0-b74a,2
org.glassfish.external:schema2beans-repackaged:3.1-b12,4
org.ow2.spec.ee:ow2-jta-1.1-spec:1.0.1,41
jaxen:jaxen:1.1.1,485
org.glassfish.deployment:schemas:3.1-b08,5
com.sun.enterprise:config-types:1.0.25,50
org.glassfish.main.web:web-gui-plugin-common:3.1.2,2
org.seleniumhq.selenium:selenium-htmlunit-driver:2.3.1,2
org.glassfish.webservices:webservices-connector:3.1-b10,2
org.ow2.jonas:jonas-security-jacc-handlers:5.2.3,3
org.glassfish.loadbalancer:load-balancer-admin:3.1-b17,13
org.glassfish.flashlight:flashlight-framework:3.1-b14,7
org.eobjects.metamodel:MetaModel-dbase:3.0.1,2
org.apache.tuscany.sca:tuscany-contribution-namespace:1.4,3
com.sun.enterprise:config-types:1.0.74,211
org.glassfish:javax.servlet.jsp.jstl:3.1.1-b02,6
org.zeroturnaround:javarebel-sdk:2.0-M1,1
org.eclipse.jetty:jetty-io:7.0.2.v20100331,3
org.glassfish.extras:appserv-rt-frag:3.0-b74b,3
org.springframework:spring:2.5.6.SEC02,1
org.ow2.util:util-scan-impl:1.0.14,27
org.kuali.student.core:ks-core-impl:1.2-M4,1
org.glassfish.packager:glassfish-osgi-gui:3.1.1-b02,1
org.glassfish.admingui:console-jca-plugin:3.1-b30,17
org.glassfish.deployment:deployment-javaee-full:3.0-b64,2
org.apache.cxf:cxf-rt-databinding-aegis:2.1.10,1
org.glassfish.admingui:console-ejb-lite-plugin:3.1-b06,3
com.google.oauth-client:google-oauth-client:1.8.0-beta,1
org.glassfish.hk2:core:2.1.16,1
org.springframework:spring-hibernate3:2.0,2
org.ow2.easybeans:easybeans-security:1.2.0-M4,3
net.sf.sido:sido:0.11,1
com.sun.enterprise:config:1.0.27,2
org.glassfish:javax.servlet.jsp:3.1.1-b10,35
org.apache.maven.wagon:wagon-ssh-external:1.0-beta-7,3
org.glassfish.packager:glassfish-ha:3.1.1,5
org.jclouds.provider:slicehost:1.0-beta-9d,1
net.sf.ehcache:ehcache-core:2.4.2,4
org.ow2.spec.ee:ow2-connector-1.5-spec:1.0.10,1
org.glassfish.connectors:connectors-runtime:3.1.1-b11,6
com.sun.woodstock:webui-jsf:4.0.2.3,2
org.ow2.util:util-url:1.0.19,28
org.apache.tomcat:coyote:6.0.32,1
org.glassfish.transaction:jta:3.1.1-b10,29
org.openl.rules:org.openl.lib.poi.dev.modified:5.9.3,4
org.glassfish.extras:javaee-frag:3.1-b08,4
org.glassfish.common:container-common:3.1.1,2
org.ow2.bundles:ow2-util-event-api:1.0.13,2
org.apache.cxf:cxf-rt-ws-addr:2.4.2,2
org.glassfish.persistence.cmp:cmp-scripts:3.1-b12,3
com.sun.grizzly:grizzly-lzma:1.9.34,170
org.glassfish.main.common:simple-glassfish-api:3.1.2,8
org.seleniumhq.selenium:selenium-api:2.3.1,2
avalon-framework:avalon-framework:4.1.5,193
org.glassfish.common:common-util:3.1-b14,36
org.jomc:jomc-modlet:1.2,1
org.apache.abdera:abdera-i18n:1.0,52
net.sourceforge.jadex:jadex-kernel-micro:2.0-rc9,2
org.ow2.jonas:jonas-management-javaee:5.3.0-M1,1
org.xwiki.commons:xwiki-commons-environment-api:4.2-milestone-1,2
org.apache.camel:camel-csv:2.9.1,4
org.restlet:org.restlet.ext.wadl:1.1.1-b6,3
org.glassfish.external:commons-codec-repackaged:3.1-b30,19
org.glassfish.packager:glassfish-gui:3.0-b74,7
org.glassfish.packager:glassfish-jts:3.0-b64,1
org.glassfish.packager:glassfish-hk2:3.1-b06,12
org.apache.pluto:pluto-descriptor-impl:1.1.6-G643117,6
org.glassfish.hk2:hk2-deprecated:2.1.16,1
org.glassfish.common:annotation-framework:3.2-b01,10
org.ow2.util:util-ee-metadata-car-api:1.0.27,3
org.codehaus.redback:redback-configuration:1.2.1,2
org.apache.directory.shared:shared-ldap-constants:0.9.16,1
org.glassfish.jms:jms-core:3.0-b74,4
org.ops4j.pax.runner:pax-runner-platform:1.5.0,1
org.glassfish.admin:server-mgmt:3.1.1,8
org.glassfish.cluster:gms-bootstrap:3.1-b35,5
org.glassfish.packager:glassfish-registration:3.1.1-b11,7
org.kuali.rice:rice-edl-framework:2.2.0,3
org.ow2.easybeans:easybeans-jpa-hibernate-dependency:1.1.0,2
org.jboss.deployers:jboss-deployers-core-spi:2.2.0.M2,1
org.glassfish.external:jaxr-ra:3.1.1-b01,1
org.glassfish.hk2:hk2-core:1.6.10,1
com.mysema.querydsl:querydsl-core:1.0.8,3
org.jboss.errai.io.netty:netty:4.0.0.Alpha1.errai.r1,4
org.glassfish.ejb:ejb-timer-service-app:3.1-b24,1
org.glassfish.appclient.server:appclient-server-core:3.0.1-b06,2
org.glassfish.admingui:dist-fragment:3.1-b12,8
org.glassfish.deployment:dtds:3.1-b14,2
org.ow2.util:util-ee-metadata-ejbjar-impl:1.0.30,10
org.ow2.cmi:cmi-jgroups:2.0.10,4
org.glassfish.admin:config-api:3.1-b26,38
org.jboss.weld:weld-build-config:1.1.4.Final,8
org.ow2.bundles:ow2-util-event-impl:1.0.21,9
org.apache.maven.doxia:doxia-sink-api:1.1.4,1
org.springframework.security:spring-security-core:3.0.2.RELEASE,4
org.ow2.util:util-jmx-api:1.0.12,12
org.apache.axis:axis-jaxrpc:1.4,356
org.apache.wicket:wicket:1.5.7,2
com.sun.akuma:akuma:1.2,3
org.glassfish:javax.annotation:3.1-b14,5
org.jsecurity:jsecurity:0.9.0-RC2-sonatype,7
net.stickycode.configured:sticky-configured-api:2.4,2
org.apache.cxf:cxf-rt-databinding-aegis:2.2.9,22
rhino:js:1.7R1,9
org.eclipse.jetty:jetty-jndi:7.4.3.v20110701,1
org.apache.openwebbeans:openwebbeans-spi:1.0.0-M4,2
org.apache.velocity:velocity-tools:2.0,28
org.glassfish.osgi-platforms:felix:3.0-b74a,94
org.glassfish.external:sysnet-registration-repackaged:3.0-b64,3
org.glassfish.external:ldapbp-repackaged:3.0.1-b20,3
org.glassfish.extras:osgi-container:3.1-b35,11
org.eobjects.metamodel:MetaModel-mongodb:2.2.2,3
org.hibernate:hibernate-entitymanager:3.5.6-Final,2
it.tidalwave.thesefoolishthings:it-tidalwave-util-logging:1.1.3,1
asm:asm-analysis:2.1,2
org.apache.geronimo.modules:geronimo-webservices:2.1.4,6
org.eclipse.jetty:jetty-jmx:7.4.3.v20110701,1
org.glassfish:javax.security.auth.message:3.0.1-b16,9
org.apache.directory.server:apacheds-protocol-dns:1.5.4,1
com.sun.enterprise:osgi-adapter:0.3.38,1
org.springframework:spring:2.5.1,1
org.ow2.easybeans:easybeans-component-hsqldb:1.2.0-M2,4
org.ow2.easybeans:easybeans-jca-workmanager:1.1.0,4
org.glassfish.admingui:console-jruby-plugin:3.1-b10,5
org.glassfish.admingui:console-ejb-lite-plugin-help:3.2-b01,2
org.glassfish.deployment:deployment-javaee-core:3.2-b01,3
com.sun.grizzly:grizzly-http:1.9.9,2
org.glassfish:javax.annotation:3.1-b32,27
org.jbpm:jbpm-human-task-jms:5.4.0.Final,2
org.glassfish.packager:glassfish-nucleus:3.1.1-b01,23
org.apache.httpcomponents:httpmime:4.2.1,2
org.ow2.util:util-i18n:1.0.30,23
org.ow2.easybeans:easybeans-component-jotm:1.1.0-M1,3
org.ow2.spec.ee:ow2-jsr77-1.1-spec:1.0.4,20
org.ow2.util:util-file:1.0.23,34
org.glassfish.external:ldapbp-repackaged:3.0.1-b19,18
org.ow2.easybeans:easybeans-ee-war:1.0.0-JONAS,1
org.ow2.bundles:ow2-util-ee-metadata-common-api:1.0.11,3
org.ow2.util:util-ee-metadata-car-api:1.0.37,14
org.glassfish:javax.annotation:3.1.1-b05,4
org.glassfish.common:common-util:3.2-b01,11
org.glassfish.distributions:web-nb:3.0-b72,2
org.apache.geronimo.framework:geronimo-deployment:2.2,40
org.eclipse.jetty:jetty-util:7.1.2.v20100523,5
org.apache.lucene:lucene-memory:4.0.0-ALPHA,2
org.glassfish.common:internal-api:3.0.1-b19,12
org.glassfish.jdbc.jdbc-ra.jdbc-ra-distribution:jdbc-ra:3.0.1-b20,3
org.glassfish.packager:glassfish-hk2:3.1-b09,1
org.sonatype.flexmojos:flexmojos-generator-internal-compiler-iface:4.0-beta-7,1
org.ow2.util:util-i18n:1.0.37,61
org.glassfish:osgi-web-container:3.1-b31,12
org.glassfish.security:realms:3.0-b29,2
org.mortbay.jetty:jsp-2.1-glassfish:9.1.1.B51.25.p1,2
org.apache.maven:maven-model:2.0.2,9
org.kuali.student.core:ks-core-rice:1.2.2-M3,2
org.glassfish.flashlight:flashlight-extra-jdk-packages:3.0-b74a,76
org.sonatype.micromailer:micromailer:1.0.2,6
org.glassfish.core:glassfish:3.0-b64,2
net.liftweb:lift-common_2.7.7:2.2-RC1,3
org.glassfish.common:common-util:3.0.1-b20,2
org.apache.jackrabbit:jackrabbit-jcr-commons:2.1.3,2
com.github.widebase:widebase-stream-codec-rq_2.9.1:0.2.0,1
org.apache.maven.scm:maven-scm-manager-plexus:1.0-beta-4,1
org.apache.directory.server:apacheds-schema-bootstrap:1.5.4,3
org.springframework:spring-asm:3.0.5.RELEASE,5582
org.glassfish.web:web-embed-api:3.1-b41,2
org.glassfish.grizzly:grizzly-core:2.1.3,2
ru.circumflex:circumflex-orm-i18n:0.2,1
org.glassfish.common:amx-ext-impl:3.1-b10,5
org.glassfish.deployment:schemas:3.1.1-b01,20
org.apache.karaf.shell:org.apache.karaf.shell.obr:2.2.10,2
org.glassfish.common:btrace-jars:3.0-b74b,2
org.apache.geronimo.specs:geronimo-activation_1.1_spec:1.0,2
org.glassfish:javax.ejb:3.1-b32,45
net.jangaroo:exml-compiler:2.0-preview-1,1
com.payneteasy.superfly:superfly-crypto:1.2-10,1
org.glassfish.admin:admin-util:3.1.1-b01,38
org.ow2.jonas.admin:jar:1.0.1,1
org.ops4j.pax.web:pax-web-api:0.7.3,1
org.ow2.util:util-component-api:1.0.13,1
org.jboss.osgi.resolver:jbosgi-resolver-felix:2.1.0.Final,1
com.sun.grizzly:grizzly-comet:1.8.6-RC3,2
de.devsurf.injection.guice.scanner:de.devsurf.injection.guice.scanner.core:0.7.0,1
org.jasig.resourceserver:resource-server-utils:1.0.4,1
org.jclouds.provider:eucalyptus-partnercloud-s3:1.4.0,2
org.eclipse.persistence:org.eclipse.persistence.asm:2.0.1,31
org.ow2.util:util-event-impl:1.0.12,55
org.ow2.util:util-xmlconfig:1.0.37,14
org.glassfish.packager:glassfish-cluster:3.1-b05,3
com.sun.enterprise:hk2-core:0.3.45,2
org.ow2.util:util-event-api:1.0.23,78
org.apache.geronimo.framework:geronimo-management:2.2,28
