artifact,page_rank
org.apache.ws.commons.util:ws-commons-util:1.0.2,1.998733
org.codehaus.plexus:plexus-utils:2.0.5,1.9839175
org.clojure:tools.logging:0.2.3,1.983671
org.clojure:core.incubator:0.1.0,1.983671
net.sourceforge.htmlcleaner:htmlcleaner:2.2,1.967844
commons-fileupload:commons-fileupload:1.2.1,1.9545925
org.objenesis:objenesis:1.2,1.9543885
commons-fileupload:commons-fileupload:1.2.2,1.9533515
asm:asm:3.2,1.952374
javadb:javadb:10.5.3.0,1.930104
org.codehaus.plexus:plexus-utils:1.4.5,1.9214425
org.apache.maven:maven-plugin-api:2.0,1.909364
org.codehaus.plexus:plexus-container-default:1.0-alpha-8,1.889695
javax.transaction:jta:1.1,1.8700685
commons-beanutils:commons-beanutils:1.8.0,1.850442
org.clojure:clojure:1.3.0-beta1,1.8361025
commons-cli:commons-cli:1.2,1.834513
com.sun.grizzly:grizzly-config:1.9.19,1.80784
org.eclipse.jdt:ecj:3.3,1.794291
concurrent:concurrent:1.3.4,1.7913245
org.codehaus.plexus:plexus-utils:1.0.4,1.7902535
org.apache.geronimo.specs:geronimo-jms_1.1_spec:1.1.1,1.777342
org.slf4j:slf4j-api:1.7.2,1.7758375
org.fusesource.commonman:commons-management:1.0,1.7690205
org.eclipse.persistence:javax.persistence:2.0.0,1.7624585
org.apache.felix:org.osgi.compendium:1.2.0,1.7599255
org.clojure:clojure:1.2.0,1.7537375
asm:asm:3.0,1.7495385
commons-discovery:commons-discovery:0.4,1.7446
org.glassfish.web:jstl-impl:1.2,1.733125
org.slf4j:jcl-over-slf4j:1.6.1,1.7162185
org.slf4j:slf4j-api:1.4.3,1.7025675
hsqldb:hsqldb:1.8.0.7,1.698462
org.json:json:20080701,1.6766765
org.codehaus.plexus:plexus-digest:1.1,1.67303
org.mortbay.jetty:servlet-api:2.5-20081211,1.659396
com.sun.grizzly:grizzly-utils:1.9.18-o,1.6480995
stax:stax-api:1.0,1.6400755
commons-codec:commons-codec:1.2,1.6360635
com.sun.xml.bind:jaxb-impl:2.1.12,1.6353835
org.apache.geronimo.specs:geronimo-jacc_1.1_spec:1.0-M2,1.6353495
org.ow2.util.asm:asm:3.1,1.6236025
org.slf4j:slf4j-log4j12:1.6.1,1.6232455
org.apache.cxf:cxf-rt-frontend-jaxrs:2.2.6,1.622625
joda-time:joda-time:2.0,1.622557
xml-resolver:xml-resolver:1.2,1.617134
jline:jline:0.9.94,1.5997515
org.codehaus.jettison:jettison:1.1,1.5979155
org.eclipse.persistence:javax.persistence:2.0.3,1.596564
javax.ws.rs:jsr311-api:1.0,1.592178
commons-pool:commons-pool:1.5.4,1.5920675
javax.xml.bind:jsr173_api:1.0,1.5919485
org.antlr:stringtemplate:3.2,1.5817655
commons-lang:commons-lang:2.2,1.5730445
asm:asm-tree:3.1,1.569313
org.scala-lang:scala-library:2.9.1,1.5638815
com.thoughtworks.paranamer:paranamer:2.3,1.562241
joda-time:joda-time:2.1,1.556359
log4j:log4j:1.2.15,1.5557895
org.codehaus.woodstox:wstx-asl:3.2.9,1.5479355
org.slf4j:slf4j-api:1.5.10,1.541484
jaxen:jaxen:1.1.1,1.5334175
org.jdtaus.core:jdtaus-core-schemas:1.15,1.5310035
org.joda:joda-convert:1.1,1.529159
commons-codec:commons-codec:1.6,1.524195
antlr:antlr:2.7.6,1.520574
com.sun.enterprise:hk2-core:1.1.0,1.5177435
velocity:velocity-dep:1.4,1.5158395
xalan:xalan:2.7.0,1.5026475
com.google.inject:guice:2.0,1.50167
com.sun.mail:javax.mail:1.4.4,1.497692
org.ow2.easybeans:quartz:1.6.0,1.49691
org.scala-lang:scala-library:2.8.0,1.4772835
javax.jcr:jcr:1.0,1.4755155
org.springframework:spring-core:3.0.7.RELEASE,1.460037
log4j:log4j:1.2.8,1.459765
org.springframework:spring-core:2.5.4,1.452982
org.apache.geronimo.specs:geronimo-annotation_1.0_spec:1.1.1,1.4437
junit:junit:4.8.2,1.43979
org.springframework:spring-aop:3.0.5.RELEASE,1.438141
geronimo-spec:geronimo-spec-jta:1.0.1B-rc4,1.4317065
com.google.guava:guava:r09,1.427686
org.glassfish.hk2.external:asm-all-repackaged:1.1.0,1.427448
com.sun.jersey:jersey-core:1.12,1.4273885
org.springframework:spring-web:2.5.6,1.4131765
jgroups:jgroups:2.6.10.GA,1.4099975
com.thoughtworks.paranamer:paranamer:2.0,1.4061385
org.shoal:shoal-gms-api:1.5.30,1.40392
com.sun.grizzly:grizzly-utils:1.9.31,1.397001
com.sun.xml.bind:jaxb-impl:2.1.3,1.384183
org.apache.maven:maven-core:2.0.4,1.376652
javax.jdo:jdo2-api:2.0,1.376329
com.sun.enterprise:config:1.0.25,1.375734
xml-apis:xml-apis:1.4.01,1.3726485
classworlds:classworlds:1.1,1.3721045
asm:asm:3.3.1,1.3687895
com.google.guava:guava:12.0,1.353685
junit:junit:4.4,1.3451255
