"artifact","direct_dependencies"
"org.glassfish.appclient:gf-client-module:3.1.1-b01","26"
"org.codehaus.sonar:sonar-plugin-api:1.10.1","26"
"org.codehaus.mojo:gwt-maven-plugin:2.2.0","26"
"org.glassfish.web:web-glue:3.0.1","26"
"org.eobjects.analyzerbeans:AnalyzerBeans:0.5","26"
"org.apache.geronimo.configs:openejb:3.0.0","26"
"org.glassfish.packager:glassfish-common-tmp:3.2-b04","26"
"org.ow2.easybeans:easybeans-core:1.2.0-M5","26"
"io.airlift:sample-server:0.65","25"
"org.ow2.jonas:jonas-ejb-container:5.0.3","25"
"net.nan21.dnet:nan21.dnet.module.sd.business:1.0.5","25"
"org.apache.maven:maven-core:2.0.7","25"
"org.efaps:efaps-kernel:1.18.0","25"
"org.apache.solr:solr-core:4.0.0","25"
"org.glassfish.ejb:ejb-container:3.2-b03","25"
"net.sf.squirrel-sql:fw:3.3.0-rc1","25"
"org.glassfish.appclient:gf-client-module:3.1-b26","25"
"org.ow2.easybeans:easybeans-all:1.2.0-M5","25"
"net.thucydides:thucydides-core:0.8.29","25"
"org.jvnet.hudson.main:maven-plugin:1.393","25"
"org.ow2.easybeans:easybeans-all:1.2.0","25"
"org.apache.geronimo.framework:jee-specs:2.2.1","25"
"org.glassfish.packager:glassfish-common-tmp:3.0-b63","25"
"org.apache.directory.server:apacheds-all:2.0.0-M1","25"
"groovy:groovy:1.0-jsr-04","25"
"org.glassfish.appclient:gf-client-module:3.2-b02","24"
"org.apache.maven:maven-core:2.0.9","24"
"org.apache.maven:maven-core:2.0.4","24"
"org.drools:drools-camel-server:5.2.0.CR1","24"
"org.apache.geronimo.framework:jee-specs:2.2","24"
"org.ow2.easybeans:easybeans-all:1.2.0-M2","24"
"acegisecurity:acegi-security-jboss:0.9.0","24"
"org.glassfish.extras:glassfish-embedded-static-shell:3.0-b64","24"
"org.jclouds:jclouds-allcompute:1.0-beta-9d","24"
"org.apache.solr:solr-core:4.0.0-ALPHA","24"
"org.glassfish.web:web-glue:3.1-b09","24"
"org.glassfish.web:web-glue:3.1-b15","24"
"org.grails:grails-core:2.1.3","24"
"org.glassfish.web:web-glue:3.1-b41","24"
"org.apache.maven.plugins:maven-site-plugin:2.1","24"
"org.codehaus.mojo:gwt-maven-plugin:2.1.0","24"
"org.mentaframework:mentawai:1.12","24"
"org.apache.cassandra:cassandra-all:1.1.0-beta1","24"
"org.ow2.easybeans:easybeans-core:1.2.0-M2","24"
"net.thucydides:thucydides-core:0.9.0-alpha-3","23"
"org.ow2.easybeans:easybeans-all:1.1.0-RC2_JONAS","23"
"org.mule:mule-core:2.0.0-M2","23"
"org.glassfish.extras:glassfish-embedded-static-shell:3.1-b06","23"
"org.apache.maven:maven-core:2.0.8","23"
"com.yammer.dropwizard:dropwizard-core:0.4.4","23"
"org.apache.maven:maven-core:2.2.1","23"
"org.ow2.jonas:jonas-deployment:5.2.1","23"
"org.ow2.frascati.factory:frascati-af-core:1.2","23"
"org.glassfish.extras:glassfish-embedded-static-shell:3.0-b73","23"
"org.ow2.easybeans:easybeans-all:1.1.0","23"
"org.ow2.easybeans:easybeans-all:1.1.0-RC1","23"
"org.ow2.easybeans:easybeans-all:1.1.0-M3","23"
"org.ow2.jonas:jonas-deployment:5.1.0-M5","23"
"org.codehaus.groovy:groovy:1.9.0-beta-3","23"
"com.rempl.plugins:rempl-maven-plugin:1.1.3","23"
"org.grails:grails-gorm:1.3.1","23"
"net.thucydides:thucydides-core:0.9.0-RC2","23"
"com.datasalt.pangool:pangool-core:0.43.2","23"
"net.thucydides:thucydides-core:0.7.10","22"
"org.jasig.cas:cas-server-core:3.4.6","22"
"org.glassfish.packager:glassfish-common-tmp:3.0.1-b19","22"
"org.ow2.easybeans:easybeans-core:1.1.0-M3","22"
"org.mortbay.jetty:jetty-hightide:8.0.0.RC0","22"
"org.apache.maven:maven-core:2.0.6","22"
"org.ow2.jonas:jonas-deployment:5.0.3","22"
"org.ow2.jonas:jonas-deployment:5.1.2","22"
"org.ow2.jonas:jonas-deployment:5.1.1","22"
"org.ow2.jonas:jonas-deployment:5.1.4","22"
"org.apache.directory.server:apacheds-server-integ:2.0.0-M1","22"
"org.ow2.jonas:jonas-deployment:5.2.0-M2-SR1","22"
"org.springframework:spring-context-support:2.5.6.SEC03","22"
"org.ow2.jonas:jonas-deployment:5.1.0-RC2","22"
"net.sf.squirrel-sql:fw:3.2.0-RC1","22"
"org.glassfish.packager:glassfish-common-tmp:3.1.1-b07","22"
"org.xcmis:xcmis-server-tomcat-demo:1.1.4","22"
"org.ow2.easybeans:easybeans-all:1.1.0-M1","22"
"org.codehaus.sonar:sonar-plugin-api:2.3","22"
"org.glassfish.web:web-glue:3.1-b38","22"
"org.sonatype.nexus:nexus-rest-api:1.6.0","22"
"org.springframework:spring-context-support:2.5","22"
"org.codehaus.sonar:sonar-plugin-api:2.3.1","22"
"org.apache.cxf:cxf-bundle-jaxrs:2.2.9","22"
"org.ow2.easybeans:easybeans-core:1.1.0","21"
"org.ow2.petals:petals-kernel:2.1-beta1","21"
"com.google.sitebricks:sitebricks:0.8.5","21"
"org.glassfish.packager:glassfish-nucleus:3.0.1-b07","21"
"org.ow2.jonas:jonas-deployment:5.2.0-M5","21"
"org.codehaus.plexus.security:plexus-security-ui-web-integration:1.0-alpha-11","21"
"org.codehaus.groovy:groovy:1.8.3","21"
"org.ow2.petals:petals-kernel:2.1","21"
"org.ow2.jonas.osgi:javaee-api:5.1.1","21"
"org.ow2.jonas.osgi:javaee-api:5.1.5","21"
"org.apache.cxf.systests:cxf-systests-jaxws:2.1.10","21"
"org.ow2.jonas.osgi:javaee-api:5.2.0-M3","21"
"org.ow2.jonas.osgi:javaee-api:5.1.0-RC3","21"
"org.ow2.jonas.osgi:javaee-api:5.1.0-RC2","21"
"org.apache.directory.installers:apacheds-installers:1.5.4","21"
"org.apache.maven:maven-core:3.0","21"
"org.jasig.cas:cas-server-core:3.4.10","21"
"org.apache.maven:maven-core:2.0","21"
"org.ow2.jonas.osgi:javaee-api:5.1.0-M3","21"
"org.ow2.jonas.osgi:javaee-api:5.1.0-M5","21"
"org.apache.maven:maven-core:3.0.2","21"
"org.glassfish.packager:glassfish-nucleus:3.1-b08","21"
"org.glassfish.packager:glassfish-nucleus:3.1-b06","21"
"org.mule:mule-core:2.0.0-RC1","21"
"org.ow2.jonas.osgi:javaee-api:5.1.0-cxf-2.2","21"
"org.ow2.jonas.osgi:javaee-api:5.2.0-M2-SR1","21"
"org.ow2.jonas.osgi:javaee-api:5.2.0-M2-SR2","21"
"org.openl:org.openl.eclipse.ui:5.9.1","21"
"org.apache.servicemix.kernel.gshell:org.apache.servicemix.kernel.gshell.core:1.1.0","20"
"org.jasig.cas:cas-server-core:3.4.1","20"
"org.glassfish.packager:glassfish-common-tmp:3.0.1-b20","20"
"org.grails:grails-core:2.1.0.RC3","20"
"org.glassfish.packager:glassfish-nucleus:3.0.1-b03","20"
"org.codehaus.sonar:sonar-dev-maven-plugin:1.3.1","20"
"org.ow2.jonas:jonas-deployment:5.2.0-M3","20"
"org.apache.solr:solr-core:3.3.0","20"
"org.glassfish.packager:glassfish-nucleus:3.1.1-b02","20"
"org.glassfish.packager:glassfish-nucleus:3.1.1-b01","20"
"org.grails:grails-bootstrap:2.0.1","20"
"org.ow2.jonas:jonas-deployment:5.2.0","20"
"org.ow2.jonas.osgi:javaee-api:5.0.3","20"
"org.ow2.jonas.osgi:javaee-api:5.0.5","20"
"org.ow2.jonas.osgi:javaee-api:5.0.4","20"
"com.cedarsoft.serialization:test-utils:3.0.0","20"
"br.com.caelum:vraptor:3.4.1","20"
"org.glassfish.packager:glassfish-common-tmp:3.1.1","20"
"org.ow2.jonas:jonas-ejb-container:5.2.0-M3","20"
"org.glassfish.web:web-glue:3.1-b14","20"
"org.apache.ace:org.apache.ace.managementagent:0.8.0-incubator","20"
"org.kuali.rice:rice-krad-web-framework:2.0.0-rc4","20"
"org.apache.hadoop:hadoop-core:1.0.2","20"
"org.apache.maven.plugins:maven-dependency-plugin:2.0","20"
"org.glassfish.packager:glassfish-common-tmp:3.1-b16","20"
"org.sonatype.nexus:nexus-proxy:2.0.3","20"
"org.glassfish.packager:glassfish-nucleus:3.1-b09","20"
"org.apache.pig:pig:0.9.2","20"
"org.glassfish.packager:glassfish-nucleus:3.0-b74b","20"
"org.glassfish.packager:glassfish-nucleus:3.1-b25","20"
"org.apache.maven.continuum:continuum-core:1.1-beta-4","20"
"com.googlecode.metridoc:metridoc-core:0.6","20"
"org.apache.cassandra:cassandra-all:0.8.6","19"
"org.glassfish.extras:glassfish-embedded-web:3.1-b06","19"
"org.apache.cassandra:cassandra-all:0.7.3","19"
"org.jasig.cas:cas-server-core:3.4.2","19"
"org.apache.geronimo.configs:rmi-naming:1.2-beta","19"
"com.google.sitebricks:sitebricks:0.8.3","19"
"org.codehaus.sonar:sonar-plugin-api:2.11-RC2","19"
"com.payneteasy.superfly:superfly-web:1.2-10","19"
"com.nesscomputing.service.discovery:discovery-server:1.0.4","19"
"org.glassfish.webservices:jsr109-impl:3.1","19"
"org.ow2.jonas:jonas-deployment:5.3.0-RC1","19"
"org.glassfish.connectors:connectors-runtime:3.0.1-b04","19"
"org.ow2.jonas:jonas-deployment:5.1.0","19"
"org.ow2.jonas:jonas-deployment:5.1.3","19"
"org.glassfish.web:web-glue:3.1.1-b11","19"
"org.glassfish.web:web-glue:3.1.1-b05","19"
"org.glassfish.ejb:ejb-container:3.1.1-b01","19"
"org.glassfish.packager:glassfish-common:3.0-b61","19"
"geronimo:geronimo-connector:1.0-M5","19"
"org.glassfish.web:web-glue:3.0-b60","19"
"org.glassfish.web:web-glue:3.0.1-b03","19"
"xfire:xfire-demo:0.1","19"
"org.jboss.as:jboss-as-server:7.1.1.Final","19"
"org.acegisecurity:acegi-security:1.0.6","19"
"org.kuali.rice:rice-kim-ldap:2.2.0","19"
"org.jboss.jsr299.tck:jsr299-tck-impl:1.0.2.CR1","19"
"org.apache.geronimo.framework:j2ee-system:2.2","19"
"org.glassfish.packager:glassfish-nucleus:3.0-b73","19"
"org.glassfish.packager:glassfish-nucleus:3.0-b64","19"
"org.apache.portals.jetspeed-2:jetspeed-db-tools:2.2.2","19"
"org.glassfish.connectors:connectors-runtime:3.1.1-b09","19"
"org.jasig.cas:cas-server-core:3.4-RC2","19"
"org.jboss.jsr299.tck:jsr299-tck-impl:1.0.1-Final","19"
"org.glassfish.extras:glassfish-embedded-web:3.1.1-b10","19"
"org.glassfish.packager:glassfish-common-tmp:3.1-b35","19"
"org.mule:mule-core:1.4.3","19"
"org.mule:mule-core:1.4.0","19"
"org.mule:mule-core:1.4.1","19"
"org.jasig.openregistry:openregistry-service-impl:0.1-M1","19"
"org.glassfish.packager:glassfish-common-tmp:3.2-b01","19"
"org.glassfish.ejb:ejb-container:3.1-b40","18"
"org.apache.cassandra:cassandra-all:1.1.0","18"
"org.kuali.student.common:ks-common-ui:1.2.2-M3","18"
"org.apache.directory.server:apacheds-jdbm-store:1.5.6","18"
"com.proofpoint.platform:http-server:0.57","18"
"com.proofpoint.platform:http-server:0.56","18"
"org.apache.maven:maven-core:2.0.1","18"
"org.ow2.easybeans:easybeans-core:1.1.0-RC1","18"
"org.glassfish.packager:glassfish-nucleus:3.1.1-b10","18"
"org.glassfish.packager:glassfish-nucleus:3.1.1-b09","18"
"org.apache.servicemix:servicemix-core:3.2.2","18"
"org.apache.solr:solr-core:3.6.2","18"
"org.ow2.easybeans:easybeans-api:1.2.1","18"
"org.ow2.jonas:jonas-deployment:5.2.3","18"
"org.ow2.jonas:jonas-deployment:5.2.0-RC1","18"
"org.ow2.jonas.osgi:javaee-api:5.1.2","18"
"org.ow2.jonas.osgi:javaee-api:5.1.4","18"
"org.ow2.jonas.osgi:javaee-api:5.1.3","18"
"org.apache.directory.server:apacheds-server-integ:1.5.7","18"
"org.ow2.easybeans:easybeans-core:1.0.0-JONAS","18"
"org.ow2.jonas:jonas-deployment:5.1.0-RC4","18"
"org.ow2.jonas:jonas-deployment:5.1.0-RC1","18"
"org.glassfish.extras:glassfish-embedded-web:3.0-b74b","18"
"org.glassfish.packager:glassfish-common-tmp:3.1.1-b02","18"
"org.glassfish.packager:glassfish-common-tmp:3.1.1-b05","18"
"org.glassfish.packager:glassfish-common-tmp:3.1.1-b11","18"
"org.glassfish.security:security:3.2-b03","18"
"org.ow2.jonas.osgi:javaee-api:5.1.0-RC4","18"
"berkano:berkano-user:20050805.042128","18"
"org.sonatype.nexus:nexus-app:1.9.1-RC1","18"
"org.jboss.weld:weld-core:1.0.1-CR1","18"
"com.nesscomputing.components:ness-httpclient:1.3.0","18"
"org.ow2.easybeans:easybeans-core:1.1.0-M1b-JONAS","18"
"org.sonatype.nexus:nexus-rest-api:1.2.1","18"
"org.apache.geronimo.modules:geronimo-openejb:3.0.0","18"
"org.apache.hadoop:hadoop-core:0.20.2","18"
"it.tidalwave.northernwind:it-tidalwave-northernwind-importer-infoglue:1.8","18"
"it.tidalwave.northernwind:it-tidalwave-northernwind-importer-infoglue:1.4","18"
"com.proofpoint.platform:sample-server:0.55","18"
"commons-logging:commons-logging:1.1","18"
"org.apache.geronimo.framework:j2ee-system:2.2.1","18"
"org.glassfish.packager:glassfish-common-tmp:3.1-b17","18"
"org.glassfish.packager:glassfish-common-tmp:3.1-b40","18"
"com.sun.xml.ws:jaxws-rt:2.1.7","18"
"com.lohika.alp:alp-reporter:0.7","18"
"org.sonatype.nexus:nexus-proxy:2.0.1","18"
"org.ow2.jonas:jonas-deployment:5.3.0-M6","18"
"org.ow2.easybeans:easybeans-core:1.1.0-RC2_JONAS","18"
"com.sun.xml.ws:jaxws-rt:2.2.6-promoted-b03","18"
"org.glassfish.distributions:web-nb:3.1-b10","17"
"org.apache.maven.plugins:maven-changelog-plugin:2.0","17"
"org.apache.openejb:openejb-core:3.0.1","17"
"org.kuali.student.common:ks-common-ui:1.2-M6","17"
"org.apache.portals.jetspeed-2:jetspeed-cm:2.2.2","17"
"org.ow2.easybeans:easybeans-api:1.2.0","17"
"org.sonatype.nexus:nexus-rest-api:1.1-M1","17"
"org.ow2.easybeans:easybeans-api:1.2.0-M4","17"
"org.ow2.easybeans:easybeans-all:1.1.0-M1b-JONAS","17"
"org.ow2.jonas:jonas-deployment:5.1.5","17"
"org.glassfish.packager:glassfish-common-tmp:3.1.1-b01","17"
"org.glassfish.web:web-glue:3.0.1-b12","17"
"org.drools:drools-grid-impl:5.5.0.Final","17"
"org.apache.geronimo.framework:jee-specs:2.1.5","17"
"org.apache.camel:camel-web:2.10.0","17"
"org.pustefixframework:pustefix-core:0.18.17","17"
"org.codehaus.fabric3:fabric3-itest-plugin:1.4","17"
"org.apache.continuum:continuum-purge:1.4.0","17"
"org.kuali.rice:rice-it-internal-tools:2.2.0","17"
"org.apache.shindig:shindig-common:2.0.2","17"
"org.sonatype.plexus:plexus-restlet-bridge:1.9","17"
"org.sonatype.nexus:nexus-rest-api:1.3.2","17"
"com.rempl:rempl-cli:1.0","17"
"org.sonatype.nexus:nexus-rest-api:2.0.1","17"
"org.apache.cocoon:cocoon-core:2.2.0","17"
"org.sonatype.nexus:nexus-proxy:1.9.1-RC1","17"
"org.apache.maven:maven-core:3.0.1","17"
"org.mule:mule-core:2.0.1","17"
"org.mule:mule-core:2.0.0-RC3","17"
"org.mule:mule-core:2.0.0-RC2","17"
"org.sonatype.plexus:plexus-restlet-bridge:1.11","17"
"org.ow2.jonas:jonas-deployment:5.3.0-M2","17"
"org.ow2.jonas:jonas-deployment:5.3.0-M1","17"
"org.apache.tuscany.sca:tuscany-binding-atom-abdera:1.5","17"
"org.kuali.student.common:ks-common-ui:1.2","17"
"org.openengsb.core:openengsb-core-security:1.2.0.M2","17"
"org.ow2.easybeans:easybeans-core:1.2.0-M4","17"
"org.ow2.easybeans:easybeans-core:1.0.2","16"
"org.eobjects.analyzerbeans:AnalyzerBeans-core:0.16","16"
"org.glassfish.ejb:ejb-container:3.1-b26","16"
"org.glassfish.ejb:ejb-container:3.1-b33","16"
"org.glassfish.webservices:jsr109-impl:3.0-b63","16"
"org.pustefixframework:pustefix-core:0.16.4","16"
"org.pustefixframework:pustefix-core:0.16.6","16"
"org.apache.tika:tika-parsers:0.7","16"
"org.jboss.as:jboss-as-connector:7.1.1.Final","16"
"org.kuali.rice:rice-location-web:2.2.0","16"
"org.ow2.easybeans:easybeans-core:1.1.0-M1","16"
"org.jvnet.jax-ws-commons.spring:jaxws-spring:1.5","16"
"org.apache.hadoop:hadoop-core:0.20.203.0","16"
"org.jasig.cas:cas-server-core:3.3.2","16"
"org.ow2.easybeans:easybeans-all:1.0.0-JONAS","16"
"org.pustefixframework:pustefix-core:0.18.9","16"
"org.hibernate:hibernate:3.2.0.cr1","16"
"org.apache.cxf:cxf-rt-frontend-jaxws:2.1.2","16"
"org.glassfish.security:webservices.security:3.0.1-b12","16"
"org.apache.maven.plugins:maven-assembly-plugin:2.2","16"
"org.appfuse.plugins:maven-warpath-plugin:2.2","16"
"org.kuali.rice:rice-core-framework:2.2.0","16"
"se.vgregion.paf-web:paf-web-viewer-module-portlet:1.4","16"
"org.pustefixframework:pustefix-core:0.18.20","16"
"org.pustefixframework:pustefix-core:0.18.23","16"
"org.glassfish.packager:glassfish-common-tmp:3.0-b74a","16"
"org.glassfish.packager:glassfish-common-tmp:3.0-b74","16"
"org.glassfish.ejb:ejb-container:3.0.1-b20","16"
